,,,Other (Please describe): Operations & tech,,,Other (Please describe): post-doc,,,Other (Please describe): Foreign Service,,
,,,Other (Please describe): Organizational Development,,,Other (Please describe): Professor,,,Other (Please describe): Intelligence,,
,,,Other (Please describe): Procurement,,,Other (Please describe): R&D,,,Other (Please describe): intelligence analysis,,
,,,Other (Please describe): Project management,,,Other (Please describe): Research,,,Other (Please describe): intelligence analyst,,
,,,Other (Please describe): Publishing,,,Other (Please describe): research assistant,,,Other (Please describe): Patent Office - mix of engineering and legal,,
,,,Other (Please describe): Quality Assurance,,,Other (Please describe): Research Services,,,Other (Please describe): Planning and zoning administration,,
,,,Other (Please describe): Retail,,,Other (Please describe): Scientific Research,,,Other (Please describe): Policy,,
,,,Other (Please describe): Retail buyer,,,Other (Please describe): University admission recruitment,,,Other (Please describe): Policy research,,
,,,Other (Please describe): Retail Employee,,,,,,Other (Please describe): Politics,,
,,,Other (Please describe): Software Sales,,,,,,Other (Please describe): Public Affairs,,
,,,Other (Please describe): strategy and performance,,,,,,Other (Please describe): Public Defender,,
,,,Other (Please describe): Strategy Consulting,,,,,,Other (Please describe): Public policy,,
,,,Other (Please describe): tech start up,,,,,,Other (Please describe): Public Policy Advocacy/ Lobbying,,
,,,Other (Please describe): Technology Consulting,,,,,,Other (Please describe): Public Relations,,
,,,Other (Please describe): Logistics Analysis,,,,,,Other (Please describe): Urban Planning,,
,,,Other (Please describe): International development,,,,,,Other (Please describe): USAID Contracting,,
,,,Other (Please describe): Human Resource Management,,,,,,Other (Please describe): Lobbying,,
,,,Other (Please describe): Human Resources,,,,,,,,
,,,Other (Please describe): human resources,,,,,,,,
,,,Other (Please describe): Human resources,,,,,,,,
,,,Other (Please describe): Hospitality,,,,,,,,
,,,Food preparation and serving related,,,,,,,,
,,,Other (Please describe): Local Food Systems,,,,,,,,
