ADV-ID,Class,Gender,Major1,Major2,Major3,Bus-City,Bus-State,Bus-Zipcode,Bus-Country,Job-Title,Field of Work,Industry,Employer
0007302449,1973,M,Chemistry,,,,,,,,,Research/Laboratory,3M Company
0008500333,1985,M,Chemistry,,,,,,,Physician,Physician/Surgeon,Health Care/Hospital/Medical Serv.,Maine Medical Partners
0006706624,1967,M,Chemistry,,,,,,,Vice President Clinical Affairs,Pharmaceuticals,Consulting,Fast Track Drugs
0010047247,2006,M,Chemistry,Economics,,,,,,Resident Physician,Physician/Surgeon,Health Care/Hospital/Medical Serv.,Ball Memorial Hospital
0010040357,2003,F,Chemistry,,,,,,Canada,Research Assistant,Research,Education - College/University,University of Saskatchewan
0010044424,2005,M,Chemistry,Economics,,,,,,Vice President,Finance,Banking/Financial Service,Morgan Stanley
0010046173,2006,F,Comparative Literature,,,,,,,Associate,Consulting,Consulting,McKinsey & Company
0010034857,2001,M,Computer Science,,,,,,,,,Computers/Information Service,Awesome Software
0010039851,2003,M,Computer Science,Political Science,,,,,,Channel Operations Specialist,Sales,Computers/Information Service,"Polycom, Inc."
0010025768,1997,M,Contract Major-Div.1,,,,,,,"VP, Products & Marketing",Environmental,Computers/Information Service,Environmental Data Resources
0007301838,1973,M,Economics,,,,,,,,,,"Staples, Inc."
0010030164,1999,M,Economics,,,,,,,Senior Analyst,,,Fidelity Investments
0006935056,1969,M,Economics,,,,,,,,,,Banknorth Massachusetts
0008500372,1985,F,Economics,,,,,,Sweden,President & CEO,Management,Manufacturing,AB Ludvig Svensson
0010025818,1997,F,Economics,Political Science,,,,,,Brand Manager,,,"Kraft Foods, Inc."
0010021763,1995,M,Economics,Environmental Studies,,,,,,Asst. Housekeeping Manager,Management,Hospitality/Food Service,Four Seasons Maui
0007628747,1976,M,Economics,Classics,History of Ideas,,,,,,,,The Latin School
0010038058,2001,M,Economics,,,,,,Singapore,,,,Deutsche Bank Global Markets
0010022005,1995,M,Economics,Environmental Studies,,,,,,"Public Affairs, Enviromment",Management,,John Deere & Company
0010034718,2001,M,Economics,,,,,,,Director,Finance,Banking/Financial Service,Onex Investment Corp.
0008482958,1984,M,Economics,,,,,,,Vice President,,,Hubbell Inc.
0010010377,1987,M,Economics,,,,,,Hong Kong,Man. Dir./Head of Fin. Inst. Grp,Finance,Banking/Financial Service,Barclays Capital
0010008256,1990,M,Economics,,,,,,,Business Intelligence Consultant,Consulting,Computers/Information Service,Self-employed
0010039356,2003,M,Economics,,,,,,Hong Kong,,Banking,Banking/Financial Service,J.P. Morgan Chase
0010037246,2002,M,Economics,Medicine,,,,,,,Venture Capital,Media/Communications,"Health Guru Media, Inc."
0010008291,1987,F,Economics,,,,,,,Account Manager,Sales,Publishing,Free Pint Ltd.
0010027992,1998,M,Economics,,,,,,,,,,J.P. Morgan Chase
0010050540,2008,M,Economics,,,,,,,Analyst-Private Wealth Management,Finance,Banking/Financial Service,J.P. Morgan Chase
0010017759,1993,M,Economics,Environmental Studies,,,,,,"Grade 6 Teacher, Math/Schience",Educator,Education - Pre-school-12,Belmont Public Schools
0010012833,1991,M,Economics,Mathematics,,,,,,Founder & President,Finance,Banking/Financial Service,Skill Capital Management
0007390342,1973,M,Economics,,,,,,,Senior Counsel,Attorney,Computers/Information Service,Hewlett-Packard Company
0006810338,1968,M,Economics,,,,,,,Financial Reporting Consultant,Consulting,Accounting/Auditing/Bookeeping,The SECRules.com
0010007915,1989,M,Economics,,,,,,,"Vice President, US M&A",Finance,Public Utility,National Grid
0010053517,2009,F,Economics,English,,,,,,Analyst,Consulting,Consulting,Analysis Group
0010022116,1995,F,Economics,,,,,,,"Director, Client Experience",Management,Banking/Financial Service,Charles Schwab & Co.
0010024089,1996,F,Economics,,,,,,,Associate Director,Pharmaceuticals,Health Care/Hospital/Medical Serv.,Abbott Laboratories
0010008838,1990,M,Economics,Art History,,,,,,Managing Partner,Venture Capital,,Latin Idea Ventures
0010019861,1994,M,Economics,,,,,,,Founder,,Media/Communications,Mobile Methodology LLC
0010041215,2004,F,Economics,,,,,,,Founder & CEO,Entrepreneur,Media/Communications,InstEvent.com
0008088035,1980,M,Economics,,,,,,,Senior Managing Director,Investments,Consulting,Hartland & Co.
0010055990,2008,M,Economics,English,,,,,,Consultant,Consulting,Consulting,FTI Consulting
0010053453,2009,M,Economics,History,,,,,,Associate,Investments,Banking/Financial Service,CIM Group
0010043835,2005,M,Economics,,,,,,,Account Executive Officer,Insurance,Insurance,Travelers
0010039120,2003,M,Economics,Psychology,,,,,,Dean of Middle School,Educator,Education - Pre-school-12,Alexander Dawson School
0010046037,2006,M,Economics,,,,,,,,,,
0007493000,1974,M,English,,,,,,,Director Card Performance Research,Advertising/Marketing,Consulting,Phoenix Marketing International
0007787397,1977,F,English,Theatre,,,,,,Actor,Acting,Media/Communications,"Lyre Films, Inc."
0007943762,1979,M,English,History,,,,,,,Public Policy,Professional Organization,Tower Hill
0007345079,1973,M,English,,,,,,,,,,Troutman Sanders LLP
0008465418,1984,M,English,,,,,,,Actor,Theatre,Entertainment/Sports,Self-employed
0007214927,1972,M,English,,,,,,,'48 Distinguished Vis Prof. Ldshp. Stds.,Educator,Education - College/University,Williams College
0010020102,1994,M,English,,,,,,,Executive Director,Financial/Estate/Retirement Planner,Agriculture,The Advisory Board Company
0010055314,2010,F,English,,,,,,,Intern,Journalist/Reporter,Hospitality/Food Service,Serious Eats : The Food Lovers' Blog
0010042503,2004,M,English,,,,,,,Managing Editor,Journalist/Reporter,Media/Communications,Inside U.S. Trade
0010032318,2000,M,English,,,,,,,Associate,Attorney,Law/Legal Service/Courts,Nixon Peabody
0008242728,1982,F,English,,,,,,,Sr. V.P & Chief Marketing Officer,,,Jamba Juice
0010008312,1990,F,English,,,,,,Canada,Assistant Professor,Educator,Education - College/University,Univ. of Toronto at Scarborough
0010039062,2003,M,English,,,,,,,Principal,Entrepreneur,Real Estate,The Daft Group
0010009174,1989,F,English,,,,,,,Indexing Coordinator,Editing/Writing,Publishing,"Matthew Bender & Company, Inc."
0008108895,1981,F,English,,,,,,,,,,Charming Shoppes
0008444300,1984,M,English,,,,,,Hong Kong,Senior Advisor,Consulting,Banking/Financial Service,"Apollo Management, LLC"
0007371615,1973,M,English,,,,,,,Senior Principal,,,"Jerold Panas, Linzy & Partners"
0010025834,1997,F,English,Psychology,,,,,,,Business Administration,Health Care/Hospital/Medical Serv.,United Health Group
0007485339,1974,M,English,,,,,,,,,,
0010030312,1999,M,English,,,,,,,,,,
0005720795,1957,M,Geology,,,,,,Canada,,Scientist,,Saskatchewan Petroleum Venture Ltd.
0008500033,1985,M,Geology,,,,,,,Senior Scientist,Scientist,,CEMAR
0006934479,1969,M,Geology,,,,,,,Attorney,Attorney,Law/Legal Service/Courts,"Strategic Law Group, PC"
0007342055,1973,M,Geology,,,,,,,,Sales,,Arrowhead Product Development
0010015424,1992,M,Geology & Mineralogy,,,,,,,,Educator,Education - College/University,Georgia State University
0010019913,1994,F,History,,,,,,,Research Fellow,Research,Education - College/University,University of California
0010008870,1986,F,History,,,,,,,,Attorney,,InSite Corporate Coaching & Training
0010026122,1997,F,History,Political Science,,,,,,VP for Government Affairs,,,Cystic Fibrosis Foundation
0010011064,1986,M,History,,,,,,,Practice Leader,Management,Insurance,Trion Consulting
0010022163,1995,F,History,,,,,,,,,,Somerville Office of SPCD
0010015437,1992,M,History,Political Science,,,,,,Regional Vice-President,Investments,Banking/Financial Service,TCW Investments
0006954417,1969,M,History,,,,,,,Project Manager,Management,Government,NRC
0010039583,2003,M,History,,,,,,,Research Assistant,Research,,Pew Research Center
0010027964,1998,M,History,,,,,,,,Real Estate,Real Estate,The Wilkinson Group
0010037034,2002,M,History,,,,,,,Founder,Investments,Banking/Financial Service,"ESS Capital Management, L.P."
0010018252,1993,M,History,,,,,,,Co-Executive Prod.Head Writer,Author/Poet/Playwright/Writer,Entertainment/Sports,"ABC ""The Aisha Tyler Show"""
0010024125,1996,F,History,,,,,,,Middle School History Teacher,Educator,Education - Pre-school-12,Graland Country Day School
0010008509,1990,M,History,,,,,,,Instructor,Educator,Education - College/University,Claremont McKenna College
0007970032,1979,M,History,,,,,,,,,Consulting,Value Creation Partners
0010009870,1989,M,History,,,,,,,Real Estate Leader,Management,Real Estate,Crain Communcations Inc.
0007945365,1979,F,History,,,,,,,Owner,Attorney,Law/Legal Service/Courts,Corrie Yackulic Law Firm PLLC
0010009228,1989,M,History,,,,,,,Partner,Finance,,Brown-Locy Advisors
0010009530,1988,F,History,Women's Studies,,,,,,Senior Consultant,Attorney,Consulting,Corporate Voices for Working Families
0008274570,1982,M,History,,,,,,,,Editing/Writing,,The Rogovoy Report
0006674319,1966,M,History,,,,,,,,Attorney,Law/Legal Service/Courts,Paul Frank & Collins
0010012616,1991,M,History,English,,,,,,Of Counsel,Attorney,Law/Legal Service/Courts,Polsinelli Shughart
0008206370,1982,M,History,Economics,,,,,,"V.P., Transaction Sales Specialist",,,Thomson Reuters
0010030182,1999,M,History,Art,,,,,,,,,
0006433108,1964,M,History,,,,,,,,,,
0010017883,1993,F,Literary Studies,,,,,,,Equine Veterinarian,Veterinary,Health Care/Hospital/Medical Serv.,"Maplewood Vetrinary Associates, PC"
0010015449,1992,F,Literary Studies,,,,,,,Chief Financial Officer,Finance,Banking/Financial Service,Riverside Risk Advisors
0010024004,1996,M,Mathematics,,,,,,,Principal,Computing,,"Splunk, LLC"
0010019840,1994,M,Mathematics,,,,,,,Principal,Real Estate,Real Estate,"TF Mallery, LLC"
0010030562,1999,M,Mathematics,Economics,,,,,,,,,Behrman Capital
0010021655,1995,F,Music,,,,,,,Linguist/Human Intelligence Collector,Educator,Government,Utah Army National Guard
0008380274,1983,M,Music,,,,,,,,Education Administrator,Education - Pre-school-12,Oakland Unified School District
0007037275,1970,M,Philosophy,,,,,,,Partner,Management,Professional Organization,"Tatum, LLC"
0010026091,1997,F,Philosophy,,,,,,,Partner,Attorney,Law/Legal Service/Courts,Sherin & Lodgen LLP
0010056977,2011,M,Philosophy,,,,,,,Associate Consultant,Consulting,Consulting,Bain & Company
0007930826,1979,M,Physics,,,,,,,Founder/CEO,,Engineering/Architectural,Circadiant Systems
0007277794,1972,M,Physics,,,,,,,,Environmental,Manufacturing,SABIC - Innovative Plastics
0010051343,2008,M,Physics,,,,,,,,,,
0010015801,1992,F,Political Economy,,,,,,Hong Kong,Analyst,Banking,,"Lehman Brothers, Inc."
0010030596,1999,M,Political Economy,,,,,,,"Director, Business Development",Business Administration,,"E-Muzed, Inc."
0010010331,1990,M,Political Economy,,,,,,Hong Kong,Partner-Global Offerings Services,Accounting/Auditing,,Deloitte & Touche
0007833260,1978,F,Political Economy,,,,,,,Director,,,Centra Health
0008099135,1980,M,Political Economy,,,,,,,,,,Allen Van Alstine Financial Group
0008429424,1984,M,Political Economy,,,,,,,,Investments,Banking/Financial Service,Bank of America
0010039560,2003,F,Political Economy,,,,,,,"Director, Operations & Planning",Entrepreneur,,NutraBella
0010008310,1986,M,Political Economy,,,,,,,President,,,Loud & Clear Telecommunications
0008500303,1985,M,Political Economy,,,,,,Hong Kong,"Managing Dir., Head of Pac. Rim. Res.",Banking,Banking/Financial Service,Bank of America Merrill Lynch
0008140520,1981,F,Political Economy,,,,,,,Owner,,Consulting,Kira Higgs Consulting
0010012939,1991,M,Political Economy,,,,,,,Founder & CEO,Management,,Publishing Revenues
0006861415,1968,M,Political Economy,,,,,,,Visiting Professor,Educator,Education - College/University,Georgetown University
0010007885,1986,M,Political Economy,English,,,,,,AVP for Compliance & Ethics,Educator,Education - College/University,Georgetown University
0010018280,1993,F,Political Economy,,,,,,,Producer/Presenter,Editing/Writing,Media/Communications,Radio Television Hong Kong
0010023843,1996,F,Political Science,,,,,,,Executive Director,Management,,The Princeton Review of Long Island
0010009831,1989,M,Political Science,,,,,,,Editor-in-Chief,Editing/Writing,Publishing,Runner's World
0008024549,1979,M,Political Science,,,,,,,,,,Media Literacy Project
0008194490,1981,F,Political Science,,,,,,,,,,"CrystalVoice Communications, Inc."
0010023814,1996,M,Political Science,History,,,,,,U.S. Representative,Elected Official,Government,U.S. Congress
0010032489,2000,M,Political Science,,,,,,,Associate,Attorney,Law/Legal Service/Courts,Baker and McKenzie
0010008122,1989,M,Political Science,,,,,,,WRAP Tribal Caucus Coordinator,,,NTEC
0010030232,1999,M,Political Science,,,,,,,Financial Advisor,Financial/Estate/Retirement Planner,,"UBS Financial Services, Inc."
0008434275,1984,M,Political Science,,,,,,,Associate Professor,Educator,Education - College/University,Colorado College
0006690844,1966,M,Political Science,,,,,,,,,,Meta-Analysis Group
0010008053,1986,F,Political Science,,,,,,,Adjunct Spanish Instructor,,Education - College/University,University of Denver
0008378593,1983,M,Political Science,,,,,,,CEO,,,"Ascentti, LLC"
0010041847,2004,F,Political Science,English,,,,,,Manager/Security Operations,Management,Retail/Wholesale Trade,Amazon Fulfillment Services
0010035011,2001,F,Political Science,,,,,,,Public Affairs Specialist,Public Relations,Government,NOAA Fisheries
0010042025,2004,F,Political Science,Asian Studies,,,,,Hong Kong,Executive Director,Real Estate,,Hong Kong Parkview Group
0010009739,1990,M,Political Science,,,,,,,Regional Dir. of State Operations,,,Common Cause
0008017700,1980,F,Political Science,,,,,,,Policy & Development Director,,"Environmental Service, Forestry",Biomass Energy Resource Center
0008418192,1984,F,Political Science,,,,,,,Owner/Broker,,,Self-employed
0010034848,2001,F,Political Science,,,,,,,Health Insurance Specialist,Civil Service,,Centers for Medicare & Medical Services
0010044540,2005,M,Political Science,,,,,,,Head Wrestling Coach,Athletics,Education - College/University,Washington & Jefferson College
0010012767,1991,F,Political Science,,,,,,,President,Film/Television/Radio,Media/Communications,Mgk Media
0010035605,2001,F,Political Science,,,,,,,Program Manager-Energy Efficiency,"Energy (oil, gas, mining)",Public Utility,Bonneville Power Administration
0007084814,1970,M,Political Science,,,,,,,,,Consulting,"PPI Consulting, LLC"
0010032693,2000,M,Political Science,Economics,,,,,,Legislative Director,,Government,U.S. Senate
0008112780,1981,M,Political Science,,,,,,,Vice President,,,Greenwood Capital
0008259420,1982,F,Political Science,,,,,,,Principal,Consulting,,Boda Group
0010022161,1995,F,Political Science,French,,,,,France,,,Education - College/University,Presidio Graduate School
0010032537,2000,F,Political Science,,,,,,,,,,
0010009774,1986,M,Psychology,,,,,,,,Investments,Banking/Financial Service,William Blair & Company
0010009455,1989,M,Psychology,,,,,,,,Veterinary,,Tidewater Veterinary Hospitals
0007472805,1974,M,Psychology,,,,,,,President,,,Brewster Rhoads & Associates
0007404441,1974,F,Psychology,,,,,,,VP,Banking,Banking/Financial Service,Fifth Third Bank
0007569638,1975,M,Psychology,,,,,,,Associate Director,Health Care/Hospital,Education - College/University,Duke University Medical Center
0007938688,1979,F,Psychology,,,,,,,Vice President,Banking,Banking/Financial Service,The Bank of New York Mellon Corp.
0010035771,2001,F,Psychology,,,,,,,Senior Underwriting Officer,,Insurance,Chubb Group of Insurance Companies
0010044330,2005,F,Psychology,,,,,,,Program Manager,Management,,Exploration Summer Programs
0010007994,1987,F,Psychology,,,,,,,School Psychologist,Psychology,Education - Pre-school-12,Ellington Public Schools
0010047073,2006,M,Psychology,,,,,,,,,,"Reebok International, Ltd."
0010041797,2004,M,Psychology,Mathematics,,,,,,Presidential Speechwriter,,,The White House
0007594527,1975,F,Psychology,,,,,,,Executive Director,Management,Transportation,"Corning Paratransit Services, Inc."
0010032254,2000,F,Psychology,,,,,,,CEO,,,Excited 2 Learn LLC
0010032337,2000,M,Psychology,,,,,,,,,Banking/Financial Service,Hedgeye Risk Management
0010008242,1989,F,Psychology,,,,,,,Pediatric Nurse Practitioner,Nurse/Nurse Pract./Physicians Asst.,Health Care/Hospital/Medical Serv.,Seattle Children's Hospital
0007716179,1977,F,Psychology,,,,,,,Executive Search Consultant,Consulting,Consulting,Ashton Rice Executive Search
0010056709,2011,F,Psychology,,,,,,,Business Analyst,,Computers/Information Service,"Velos, Inc."
0008245153,1982,F,Religion,,,,,,,,Educator,Education - College/University,Leeds School of Business
0007230728,1972,M,Religion,,,,,,Canada,Realtor,Real Estate,Real Estate,MacDonald Realty
0010046661,2006,F,Religion,,,,,,,Associate,,,New York City Investment Fund
0010017833,1993,M,Russian,,,,,,,Assistant Professor of Russian,,,Georgia Institute of Technology
0010053215,2009,F,Sociology,,,,,,,Mobile & Digital Mktg. Coordinator,Advertising/Marketing,,ESPN
0010036869,2002,F,Sociology,,,,,,New Zealand,Research Fellow,Research,Education - College/University,University of Otago
0010037101,2002,M,Sociology,,,,,,,Embassy Legal Adviser,,Government,U.S. Department of State
0008139865,1981,M,Sociology,,,,,,,Associate Partner,Real Estate,Real Estate,Keller Williams Prestige Properties
0006180613,1961,M,Spanish,,,,,,,Attorney/Author,Attorney,,Self-employed
0010021919,1995,M,Studio Art,,,,,,,Assistant Professor,Artist/Painter/Sculptor,Education - College/University,Syracuse University
0007461782,1974,M,Studio Art,,,,,,,,,,Supply Chain Solutions
0010055379,2010,F,Theatre,,,,,,,Marketing Resident,,,Playwrights Horizons
0007249810,1972,M,,,,,,,,President,Attorney,Law/Legal Service/Courts,"The Lackner Computer Group, Inc."
0007727745,1977,F,,,,,,,Hong Kong,,,,AlliedSignal Inc.
0008276325,1982,M,,,,,,,,Research Scientist,Scientist,,Max Planek Institut
0010015122,1988,M,,,,,,,,,,,Chinese Church Research Center
0007472324,1974,F,,,,,,,,Editorial,Editing/Writing,,Charles Schwab
0008330480,1983,M,,,,,,,,,,,Cinergy
0007624271,1976,F,,,,,,,,Logistics Manager,Health Care/Hospital,,UMMC
0008335500,1983,M,,,,,,,,,,,Massachusetts Historical Society
0010015124,1990,F,,,,,,,,,,,"Boehringer Ingelheim Pharm., Inc."
0008400042,1984,F,,,,,,,Germany,,Editing/Writing,Media/Communications,Self-employed
0007448038,1974,F,,,,,,,,CFO,,,Clotilde LLC
0007615658,1976,M,,,,,,,Singapore,VP & General Manager,Management,,Hasbro Asia Pacific
0008108400,1981,F,,,,,,,,College Advisor,,Consulting,L. Hofstetter & Associates
0007417527,1974,F,,,,,,,,Reading Specialist,Educator,Education - Pre-school-12,Berlin Elementary School
0007154347,1971,M,,,,,,,,,Film/Television/Radio,Media/Communications,The Good News News Service
0005400322,1954,M,,,,,,,,,,,
0008500285,1985,M,Political Economy,,,00101 Helsinki,,,Finland,Managing Partner & Co-Founder,,,Stratos Ventures Ltd.
0006335219,1963,M,Art,,,00140 Helsinki,,,Finland,Architect,Architecture,Engineering/Architectural,Arkkitehtuuritoimisto
0010041361,2004,F,Art,,,00153 Roma,,,Italy,,,,
0010028416,1998,M,Astrophysics,Economics,,0114 Olso,,,Norway,,Attorney,Law/Legal Service/Courts,Adokatfirmaet Grette
0010008733,1990,M,Political Economy,,,0278 Oslo,,,Norway,Writer,Advertising/Marketing,,Creuna AS
0010032564,2000,M,Psychology,Economics,,"04551-060, Sao Paulo",,,,,,,Humaita Investimentos
0007325586,1973,M,Biology,,,0477 OSLO,,,Norway,Psychiatric Nurse,Nurse/Nurse Pract./Physicians Asst.,,Sandaker Hjemmetjeneste
0010024228,1997,F,Political Economy,Asian Studies,,048 619,,,Singapore,"National Director, Fund Management",Investments,Real Estate,LaSalle Investment Management
0010018278,1993,M,Philosophy,,,048624,,,Singapore,,,,"Jefferies & Co., Inc."
0007555845,1975,M,German,Political Economy,,08002 Zurich,,,Switzerland,Founder,,Banking/Financial Service,Marston Capital Partners Ltd.
0007325434,1973,M,Political Economy,,,10000 Zagreb,,,,Attorney,Attorney,,Self-employed
0010012945,1991,F,English,German,,10099 Berlin,,,Germany,Teacher,Educator,Education - College/University,Humboldt University Berlin
0010055313,2010,F,Chinese,Economics,,10100 Bangkok,,,Thailand,Analyst,Banking,Banking/Financial Service,Bank of Thailand
0008492940,1984,F,Political Science,,,1015 Lausanne,,,Switzerland,Financial Analyst,Finance,Education - College/University,Swiss Federal Inst. of Technology
0010041448,2004,M,American Studies,,,10178 Berlin,,,Germany,,,,TBWA\Berlin
0010010410,1990,F,History,,,1030 Bussigny,,,Switzerland,,Communications/Media,Computers/Information Service,IBM Europe
0007186872,1971,M,Political Science,,,1050 Brussels,,,Belgium,Partner,Attorney,Law/Legal Service/Courts,Dechert LLP
0010012794,1991,F,Literary Studies,English,,1050 Lisboa,,,Portugal,Marketing Director,,,Editorial Verbo
0007056487,1970,M,English Literature,Art,,1058 BX Amsterdam,,,Sweden,Therapist,Therapy,Professional Organization,Body and Beyond
0007399929,1973,M,Economics,Mathematics,,1096 HA Amsterdam,,,,Head of WW Strategy Practice,,,"Bain & Company Netherlands, LLC"
0008077650,1980,M,Political Economy,,,1102 MG Amsterdam,,,Netherlands,Managing Director,,Banking/Financial Service,ING Wholesale Banking
0010035225,2001,M,Astrophysics,Mathematics,,1180 Bruxelles,,,Belgium,Deputy Pl for SWAP/PROBA2,Scientist,,Royal Observatory of Belgium
0010008661,1987,M,Political Science,,,12000 Praha 2,,,Czech Republic,Managing Director,,,Oracle Czech
0006645554,1966,M,Political Economy,,,1200-826 Lisboa,,,Portugal,Manager,Bookkeeper/Controller/Treasurer,Banking/Financial Service,Grupo Espirito Santo
0008305425,1983,F,,,,1201 Geneva,,,Switzerland,Doctor,Physician/Surgeon,Health Care/Hospital/Medical Serv.,SOS-medecins
0006757061,1967,M,History,,,1208 Geneva,,,Switzerland,Managing Director,Consulting,Consulting,John McCarthy Associates
0008449043,1984,M,History,,,1208 Geneva,,,Switzerland,Head of Strategy & Research,Investments,Banking/Financial Service,Heritage Bank
0008147420,1981,M,Biology,,,1211 Geneva 4,,,Switzerland,Microbiologist,Research,,Hopital Universitaire de Geneve
0010008178,1987,F,Political Science,,,"1214 Vernier, Geneva",,,France,"Manager, Country Proposals",Foundations,Charitable Foundation,Global Fund to Fight AIDS/TB/Malaria
0006995018,1969,M,American Studies,,,1219 Chatelaine-Geneva,,,,Senior Advisor,Other,Consulting,Interpeace
0010046059,2006,F,Art,Philosophy,,14197 Berlin,,,Germany,Editor,Editing/Writing,,Cornelsen Verlag
0010010161,1986,M,Political Economy,,,200003 Shanghai,,,China,Principal,Consulting,Consulting,"The Boston Consulting Group, Inc."
0010009482,1986,M,Art,,,22095 Hamburg,,,,Managing director,Venture Capital,,Cleanventure AG
0008362744,1983,F,Political Science,,,2300 LaChaux-de-Fonds,,,Switzerland,Curriculum Coordinator/Teacher,Education Administrator,Education - College/University,Ecole Pierre -Coullery
0010041517,2004,F,Political Economy,,,239519,,,Singapore,Director,,,Marine Money Asia Pte. Ltd.
0006586335,1965,M,Biology,,,259569,,,Singapore,CEO,,Government,"Gardens by the Bay, National Parks Board"
0008455183,1984,F,Mathematic Sciences,,,2600 JA Delft,,,Netherlands,Advisor,Consulting,Transportation,TNO Inro
0010010389,1990,M,Physics,Mathematics,,265 04 Rio Patras,,,Greece,,Educator,Education - College/University,University of Patras
0010018283,1993,M,Economics,,,4034 Stavanger,,,Norway,,"Energy (oil, gas, mining)",Mining/Oil and Gas Extraction,Tenaris Global Services Norway A/S
0010008535,1987,M,History,,,40670 Meerbusch,,,Germany,CEO,Investments,Banking/Financial Service,Heitinvest
0010021974,1995,F,Chemistry,Art,,50139 Firenze,,,,Asst. Collection Care Coordinator,Conservation,Arts Organization,New York University
0010009210,1986,M,Economics,,,50923 Koln,,,Germany,,Educator,Education - College/University,University of Cologne
0010009343,1986,F,Contract Major,,,56025 Pontedera,,,Italy,,,,Piaggio Holding
0010023930,1996,M,Economics,,,60486 Franfurt am Main,,,Germany,"Director, Capital Markets Consult. Serv.",Management,Computers/Information Service,SunGard
0007136209,1971,M,,,,69007 Lyon,,,France,English Language Teacher,Educator,,University of Lyon (France)
0008283285,1981,M,,,,6924 Sorengo (Lugano),,,Switzerland,Lecturer/English as a 2nd Language,Educator,Education - College/University,Franklin College
0010049222,2007,F,Art History,,,78350 Jouy-en-Josas,,,,,,,
0008445250,1984,M,Economics,English,,7871 Grong,,,Norway,Revisor,,,Kom Rev Trondelag IKS
0007384390,1973,M,English,German,,80333 Munich,,,Germany,,Contractor,,Self-employed
0010030346,1999,M,Economics,Mathematics,,8034 Zurich,,,Switzerland,"Principal, Europe",Venture Capital,Banking/Financial Service,Monitor Clipper Partners GmbH
0010010133,1988,F,History,,,80538 Munich,,,Germany,Owner/ Exec. Coach/Strategic Adv.,Management,,The Executive Hat
