major1,major2,Industry,gradyear
ARTS,ENGL,Unlisted,2010
ARTS,ENGL,Education (Secondary),2010
ARTS,ENGL,Publishing,2011
ARTS,ENGL,Nursing,2011
ARTS,ENGL,Writing,2011
BIOL,ENGL,Unlisted,2001
BIOL,ENGL,Publishing,2002
BIOL,ENGL,Unlisted,2003
BIOL,ENGL,Graduate Studies,2003
BIOL,ENGL,Unlisted,2004
BIOL,ENGL,Entertainment,2006
BIOL,ENGL,Unlisted,2006
BIOL,ENGL,Unlisted,2007
BIOL,ENGL,Education (Higher Education),2007
BIOL,ENGL,Unlisted,2008
BIOL,ENGL,Law,2009
BIOL,ENGL,Unlisted,2010
BIOL,ENGL,Unlisted,2012
CLAS,ENGL,Unlisted,2002
CLAS,ENGL,Homemaker,2005
CLAS,ENGL,Education (Higher Education),2006
CLAS,ENGL,Unlisted,2008
CLAS,ENGL,Finance,2009
CLAS,ENGL,Museum Work,2010
CLAS,ENGL,Unlisted,2010
CLAS,ENGL,Education (Secondary),2011
DANC,ENGL,Unlisted,1995
DANC,ENGL,Law,2004
DANC,ENGL,Entertainment,2004
DANC,ENGL,Education (Elementary),2009
DRAM,ENGL,Unlisted,2001
DRAM,ENGL,Unlisted,2002
DRAM,ENGL,Social Work/Human Services,2002
DRAM,ENGL,Unlisted,2002
DRAM,ENGL,Government,2003
DRAM,ENGL,Unlisted,2003
DRAM,ENGL,Education (Secondary),2004
DRAM,ENGL,Unlisted,2004
DRAM,ENGL,Other,2005
DRAM,ENGL,Engineering,2005
DRAM,ENGL,Unlisted,2005
DRAM,ENGL,Unlisted,2006
DRAM,ENGL,Unlisted,2007
DRAM,ENGL,Unlisted,2007
DRAM,ENGL,Energy Industries,2007
DRAM,ENGL,Law,2007
DRAM,ENGL,Arts,2007
DRAM,ENGL,Unlisted,2007
DRAM,ENGL,Insurance,2007
DRAM,ENGL,Sports,2008
DRAM,ENGL,Unlisted,2008
DRAM,ENGL,Finance,2008
DRAM,ENGL,Medicine,2008
DRAM,ENGL,Other,2009
DRAM,ENGL,"Research, Other",2009
DRAM,ENGL,Unlisted,2009
DRAM,ENGL,Unlisted,2010
DRAM,ENGL,Education (Higher Education),2011
DRAM,ENGL,Self Employed,2011
DRAM,ENGL,Unlisted,2011
DRAM,ENGL,Writing,2011
DRAM,ENGL,Other,2011
DRAM,ENGL,Unlisted,2012
ECON,ENGL,Unlisted,2003
ECON,ENGL,Non-Profit Adminstration,2008
ECON,ENGL,Entertainment,2008
ECON,ENGL,Education (Higher Education),2010
ECON,ENGL,Other,2011
CHEM,FREN,Computer,2002
DRAM,FREN,Education (Higher Education),2006
ECON,FREN,Graduate Studies,2009
ENGL,FREN,Social Work/Human Services,2005
ENGL,FREN,Unlisted,2005
ENGL,FREN,Consulting,2007
ENGL,FREN,Unlisted,2007
ENGL,FREN,Entertainment,2007
ENGL,FREN,Psychology/Counseling/Therapy,2008
ENGL,FREN,Education (Higher Education),2011
CHEM,GERM,Non-Profit Adminstration,2004
ENGL,GERM,Computer,2003
ENGL,GERM,Unlisted,2009
ENGL,GERM,Government,2012
AMST,HIST,Other,2011
ANTH,HIST,Unlisted,2009
ARTS,HIST,Journalism,2007
BIOL,HIST,Education (Secondary),2003
CHEM,HIST,Unlisted,2009
CLAS,HIST,Graduate Studies,2010
DANC,HIST,Unlisted,2003
DANC,HIST,Entertainment,2010
DRAM,HIST,Education (Higher Education),2003
DRAM,HIST,Education (Higher Education),2005
DRAM,HIST,Business,2005
ECON,HIST,Government,2003
ECON,HIST,Medicine,2004
ECON,HIST,Other,2008
ECON,HIST,Unlisted,2011
ENGL,HIST,Education (Higher Education),2002
ENGL,HIST,Unlisted,2002
ENGL,HIST,Education (Higher Education),2002
ENGL,HIST,Non-Profit Adminstration,2002
ENGL,HIST,Graduate Studies,2002
ENGL,HIST,Consulting,2003
ENGL,HIST,Graduate Studies,2004
ENGL,HIST,Education (Higher Education),2004
ENGL,HIST,Public Relations,2007
ENGL,HIST,Medicine,2007
ENGL,HIST,Unlisted,2007
ENGL,HIST,Other,2009
GERM,HIST,Medicine,2003
GERM,HIST,Business,2003
ANTH,INST,Education (Secondary),2001
ANTH,INST,Publishing,2001
ANTH,INST,Graduate Studies,2009
ARHS,INST,Education (Higher Education),2008
ARTS,INST,Unlisted,2004
ARTS,INST,Law,2005
ARTS,INST,Medicine,2009
CHEM,INST,Law,2004
DANC,INST,Graduate Studies,2004
DANC,INST,Other,2005
DANC,INST,Education (Higher Education),2008
ECON,INST,Unlisted,2002
ECON,INST,Other,2004
ECON,INST,Self Employed,2004
ECON,INST,Unlisted,2006
ECON,INST,Unlisted,2006
ECON,INST,Insurance,2006
ECON,INST,Environment/Ecology,2008
ECON,INST,Law,2009
ECON,INST,Unlisted,2009
ECON,INST,Advertising,2012
ECON,INST,Health Care,2012
ENGL,INST,Education (Secondary),2007
FREN,INST,Unlisted,2011
HIST,INST,Public Relations,2003
ANTH,MATH,Unlisted,2003
ANTH,MATH,Military,2008
BIOL,MATH,Unlisted,2011
CHEM,MATH,Education (Higher Education),2007
CLAS,MATH,Self Employed,2007
ECON,MATH,Education (Secondary),2001
ECON,MATH,Other,2001
ECON,MATH,Other,2002
ECON,MATH,Museum Work,2002
ECON,MATH,Marketing/Market Research,2002
ECON,MATH,Graduate Studies,2003
ECON,MATH,Museum Work,2004
ECON,MATH,Government,2004
ECON,MATH,Health Care,2004
ECON,MATH,Other,2005
ECON,MATH,Law,2005
ECON,MATH,Fundraising/Development,2006
ECON,MATH,Unlisted,2007
ECON,MATH,Consulting,2007
ECON,MATH,Unlisted,2008
ECON,MATH,Journalism,2008
ECON,MATH,Education (Secondary),2008
ECON,MATH,Unlisted,2008
ECON,MATH,Non-Profit Adminstration,2009
ECON,MATH,Government,2009
ECON,MATH,Unlisted,2010
ECON,MATH,Other,2010
ECON,MATH,"Research,Scientific",2011
ECON,MATH,Government,2011
ECON,MATH,Sports,2012
ECON,MATH,Other,2012
ENGL,MATH,Medicine,2006
ENGL,MATH,Education (Elementary),2010
ANTH,MBIO,Unlisted,2007
MATH,MBIO,Law,2011
ANTH,MLL,Unlisted,2011
ARHS,MLL,Graduate Studies,2001
ARHS,MLL,Non-Profit Adminstration,2002
CLAS,MLL,Unlisted,2008
ECON,MLL,Education (Higher Education),2010
ECON,MLL,Hotel/Food Management,2012
ECON,MLL,Unlisted,2012
ECON,MLL,Education (Higher Education),2012
ENGL,MLL,Unlisted,2003
ENGL,MLL,Self Employed,2003
ENGL,MLL,Education (Secondary),2008
ENGL,MLL,Unlisted,2008
ENGL,MLL,Museum Work,2008
ENGL,MLL,Education (Secondary),2009
ENGL,MLL,Finance,2010
ENGL,MLL,Unlisted,2010
ENGL,MLL,Communications,2010
ENGL,MLL,Veterinary/Animal Care,2012
ENGL,MLL,Unlisted,2012
ENGL,MLL,Nursing,2012
HIST,MLL,Education (Higher Education),2004
HIST,MLL,Unlisted,2005
HIST,MLL,Finance,2011
INST,MLL,Education (Higher Education),2003
INST,MLL,Graduate Studies,2008
INST,MLL,Education (Secondary),2009
INST,MLL,Education (Higher Education),2010
INST,MLL,Finance,2010
INST,MLL,Transportation,2012
MATH,MLL,Unlisted,2007
AMST,MUSC,Unlisted,2011
ANTH,MUSC,Law,2007
ANTH,MUSC,Education (Secondary),2008
BIOL,MUSC,Journalism,2005
CLAS,MUSC,Law,2004
DRAM,MUSC,Social Work/Human Services,2003
DRAM,MUSC,Law,2005
DRAM,MUSC,Unlisted,2007
DRAM,MUSC,Graduate Studies,2009
ECON,MUSC,Unlisted,2003
ECON,MUSC,Real Estate,2006
ECON,MUSC,Education (Secondary),2007
ECON,MUSC,Business,2010
ENGL,MUSC,Library Science,2002
ENGL,MUSC,Law,2003
ENGL,MUSC,Unlisted,2006
ENGL,MUSC,Photography,2008
ENGL,MUSC,Unlisted,2011
HIST,MUSC,Sports,2005
HIST,MUSC,Unlisted,2007
MATH,MUSC,Unlisted,2009
MBIO,MUSC,Unlisted,2000
MLL,MUSC,Unlisted,2003
MLL,MUSC,Broadcast-Radio/Television,2010
MLL,MUSC,Law,2012
ARTS,NEUR,Sports,2004
BCHM,NEUR,Performing Arts,2006
ENGL,NEUR,Law,2006
MATH,NEUR,Law,2012
ARTS,PHIL,Medicine,2010
ARTS,PHIL,Unlisted,2012
CLAS,PHIL,Education (Secondary),2004
CLAS,PHIL,Unlisted,2005
DANC,PHIL,Unlisted,2005
ECON,PHIL,Unlisted,2008
ECON,PHIL,Fundraising/Development,2008
ECON,PHIL,Unlisted,2009
ENGL,PHIL,Sales,2004
ENGL,PHIL,Unlisted,2004
ENGL,PHIL,Graduate Studies,2005
ENGL,PHIL,Unlisted,2006
ENGL,PHIL,Education (Higher Education),2006
ENGL,PHIL,Unlisted,2007
ENGL,PHIL,Graduate Studies,2008
ENGL,PHIL,Unlisted,2010
INST,PHIL,Law,2011
MATH,PHIL,Unlisted,2001
MATH,PHIL,Unlisted,2001
MATH,PHIL,Finance,2003
MATH,PHIL,Construction,2007
MATH,PHIL,Unlisted,2008
MLL,PHIL,Law,2007
MUSC,PHIL,Health Care,2003
MUSC,PHIL,Advertising,2008
NEUR,PHIL,Education (Secondary),2007
ARTS,PHYS,Unlisted,2002
CHEM,PHYS,Arts,2008
CHEM,PHYS,Unlisted,2010
CLAS,PHYS,Energy Industries,2012
ECON,PHYS,Marketing/Market Research,2003
ECON,PHYS,Unlisted,2010
MATH,PHYS,Law,2002
MATH,PHYS,Manufacturing,2003
MATH,PHYS,Marketing/Market Research,2003
MATH,PHYS,Self Employed,2004
MATH,PHYS,Unlisted,2004
MATH,PHYS,Hotel/Food Management,2005
MATH,PHYS,Unlisted,2006
MATH,PHYS,Law,2006
MATH,PHYS,Public Relations,2007
MATH,PHYS,Human Resources,2008
MATH,PHYS,"Research,Scientific",2008
MATH,PHYS,Law,2008
MATH,PHYS,Unlisted,2010
MATH,PHYS,Law,2011
MATH,PHYS,Unlisted,2011
MATH,PHYS,Unlisted,2011
MATH,PHYS,Other,2011
MATH,PHYS,Education (Higher Education),2012
MUSC,PHYS,Education (Secondary),2003
ANTH,PSCI,Arts,2005
ARHS,PSCI,Education (Secondary),2001
ARHS,PSCI,Unlisted,2007
ARHS,PSCI,Unlisted,2008
ARTS,PSCI,Finance,2003
ARTS,PSCI,Graduate Studies,2006
ARTS,PSCI,Other,2008
ARTS,PSCI,Self Employed,2011
CLAS,PSCI,Unlisted,2004
CLAS,PSCI,Entertainment,2004
CLAS,PSCI,Unlisted,2008
DANC,PSCI,Education (Higher Education),2007
DRAM,PSCI,Unlisted,2001
DRAM,PSCI,Non-Profit Adminstration,2004
DRAM,PSCI,Social Work/Human Services,2007
DRAM,PSCI,Government,2008
DRAM,PSCI,Education (Secondary),2009
DRAM,PSCI,Education (Secondary),2010
ECON,PSCI,Government,2002
ECON,PSCI,Unlisted,2003
ECON,PSCI,Law,2006
ECON,PSCI,Other,2006
ECON,PSCI,Unlisted,2006
ECON,PSCI,Medicine,2007
ECON,PSCI,Unlisted,2007
ECON,PSCI,Health Care,2007
ECON,PSCI,Museum Work,2008
ECON,PSCI,Real Estate,2008
ECON,PSCI,Insurance,2008
ECON,PSCI,Unlisted,2009
ECON,PSCI,Construction,2009
ECON,PSCI,Law,2009
ECON,PSCI,Education (Secondary),2009
ECON,PSCI,Unlisted,2009
ECON,PSCI,Law,2009
ECON,PSCI,Unlisted,2010
ECON,PSCI,Unlisted,2010
ECON,PSCI,Psychology/Counseling/Therapy,2010
ECON,PSCI,Other,2011
ECON,PSCI,Journalism,2011
ECON,PSCI,Unlisted,2012
ENGL,PSCI,Unlisted,2002
ENGL,PSCI,Unlisted,2002
ENGL,PSCI,Unlisted,2003
ENGL,PSCI,"Research, Other",2003
ENGL,PSCI,Education (Secondary),2004
ENGL,PSCI,Unlisted,2004
ENGL,PSCI,Graduate Studies,2005
ENGL,PSCI,Unlisted,2007
ENGL,PSCI,Law,2009
ENGL,PSCI,Unlisted,2011
ENGL,PSCI,Unlisted,2012
FREN,PSCI,Graduate Studies,2004
GERM,PSCI,Unlisted,1999
GERM,PSCI,Health Care,2001
GERM,PSCI,Law,2002
GERM,PSCI,Unlisted,2005
HIST,PSCI,Unlisted,2002
HIST,PSCI,Business,2003
HIST,PSCI,Unlisted,2004
HIST,PSCI,Medicine,2006
HIST,PSCI,Graduate Studies,2009
HIST,PSCI,Unlisted,2009
HIST,PSCI,Unlisted,2011
HIST,PSCI,Education (Secondary),2012
INST,PSCI,Unlisted,2002
INST,PSCI,Unlisted,2004
INST,PSCI,Graduate Studies,2005
INST,PSCI,Non-Profit Adminstration,2005
INST,PSCI,Arts,2005
INST,PSCI,Photography,2009
INST,PSCI,Unlisted,2009
INST,PSCI,Accounting,2009
MATH,PSCI,Unlisted,2008
MBIO,PSCI,Arts,2004
MLL,PSCI,Unlisted,2001
MLL,PSCI,Unlisted,2002
MLL,PSCI,Unlisted,2002
MLL,PSCI,Writing,2003
MLL,PSCI,Graduate Studies,2005
MLL,PSCI,Finance,2006
MLL,PSCI,Psychology/Counseling/Therapy,2011
MUSC,PSCI,Social Work/Human Services,2011
PHIL,PSCI,Investment/Securities,2002
PHIL,PSCI,Education (Secondary),2002
PHIL,PSCI,Medicine,2005
PHYS,PSCI,Unlisted,2007
PHYS,PSCI,Education (Secondary),2007
PHYS,PSCI,Law,2008
AMST,PSYC,Journalism,2008
ANTH,PSYC,Education (Secondary),2002
ANTH,PSYC,Unlisted,2002
ANTH,PSYC,Unlisted,2006
ANTH,PSYC,Sales,2006
ANTH,PSYC,Unlisted,2008
ARHS,PSYC,Graduate Studies,2004
ARTS,PSYC,Marketing/Market Research,2003
ARTS,PSYC,Psychology/Counseling/Therapy,2004
ARTS,PSYC,Graduate Studies,2005
ARTS,PSYC,Unlisted,2006
ARTS,PSYC,Communications,2006
ARTS,PSYC,Education (Secondary),2009
ARTS,PSYC,Unlisted,2012
BIOL,PSYC,Graduate Studies,2005
CLAS,PSYC,Unlisted,2010
DANC,PSYC,Unlisted,2006
DRAM,PSYC,Government,2007
DRAM,PSYC,Other,2011
ECON,PSYC,Self Employed,2007
ECON,PSYC,Law,2008
ECON,PSYC,Graduate Studies,2008
ECON,PSYC,Unlisted,2008
ECON,PSYC,Graduate Studies,2012
ECON,PSYC,Unlisted,2012
ENGL,PSYC,Military,2002
ENGL,PSYC,"Research,Scientific",2003
ENGL,PSYC,Unlisted,2003
ENGL,PSYC,Unlisted,2004
ENGL,PSYC,Health Care,2004
ENGL,PSYC,Unlisted,2004
ENGL,PSYC,Music,2005
ENGL,PSYC,Sales,2006
ENGL,PSYC,Education (Higher Education),2006
ENGL,PSYC,Education (Secondary),2008
ENGL,PSYC,Unlisted,2010
ENGL,PSYC,Government,2011
ENGL,PSYC,Education (Higher Education),2012
ENGL,PSYC,Consulting,2012
FREN,PSYC,Agriculture,2002
HIST,PSYC,Unlisted,2005
HIST,PSYC,Graduate Studies,2007
HIST,PSYC,Arts,2011
MATH,PSYC,Graduate Studies,2006
MATH,PSYC,Unlisted,2011
MLL,PSYC,Other,2006
MLL,PSYC,Unlisted,2010
MLL,PSYC,Business,2011
MLL,PSYC,Unlisted,2012
NEUR,PSYC,Self Employed,2003
NEUR,PSYC,Graduate Studies,2004
NEUR,PSYC,Unlisted,2006
NEUR,PSYC,Unlisted,2006
NEUR,PSYC,Other,2007
NEUR,PSYC,Publishing,2008
PHIL,PSYC,Transportation,2005
PHIL,PSYC,Other,2005
PSCI,PSYC,Unlisted,2008
PSCI,PSYC,Public Relations,2010
BIOL,RELN,Accounting,2003
CLAS,RELN,ECommerce/Web,2001
CLAS,RELN,Unlisted,2001
ENGL,RELN,Unlisted,2002
ENGL,RELN,Other,2002
ENGL,RELN,Unlisted,2004
GERM,RELN,Law,2006
HIST,RELN,Medicine,2002
PSYC,RELN,Unlisted,2006
ECON,RLST,Education (Secondary),2011
ENGL,RLST,Consulting,2007
ENGL,RLST,Unlisted,2008
HIST,RLST,Consulting,2007
INST,RLST,Unlisted,2007
INST,RLST,Unlisted,2008
MLL,RLST,Other,2009
PSYC,RLST,Unlisted,2010
PSYC,RLST,Unlisted,2010
AMST,SOCY,Other,2005
AMST,SOCY,Unlisted,2010
ARTS,SOCY,Unlisted,2008
CHEM,SOCY,Sports,2003
DANC,SOCY,Journalism,2009
DRAM,SOCY,Unlisted,2005
DRAM,SOCY,Other,2012
ENGL,SOCY,Law,2004
ENGL,SOCY,Psychology/Counseling/Therapy,2006
ENGL,SOCY,Unlisted,2010
ENGL,SOCY,Unlisted,2010
ENGL,SOCY,Unlisted,2012
ENGL,SOCY,Unlisted,2012
ENGL,SOCY,Unlisted,2012
FREN,SOCY,Unlisted,1999
FREN,SOCY,Unlisted,2000
INST,SOCY,Consulting,2002
INST,SOCY,Law,2006
INST,SOCY,Education (Higher Education),2011
MLL,SOCY,Non-Profit Adminstration,2003
MUSC,SOCY,Insurance,2004
PSCI,SOCY,"Research,Scientific",2007
PSYC,SOCY,Arts,2003
PSYC,SOCY,Unlisted,2003
PSYC,SOCY,Unlisted,2003
PSYC,SOCY,Unlisted,2008
PSYC,SOCY,Social Work/Human Services,2009
ANTH,SPAN,Museum Work,2006
ANTH,SPAN,Law,2007
ANTH,SPAN,Education (Secondary),2010
ANTH,SPAN,"Research,Scientific",2012
ARHS,SPAN,Unlisted,2005
ARTS,SPAN,Medicine,2001
ARTS,SPAN,Unlisted,2006
BIOL,SPAN,Accounting,2004
BIOL,SPAN,Library Science,2007
DANC,SPAN,Law,2006
DRAM,SPAN,Publishing,2002
DRAM,SPAN,Unlisted,2009
ECON,SPAN,Unlisted,2002
ECON,SPAN,Education (Higher Education),2004
ECON,SPAN,Psychology/Counseling/Therapy,2005
ECON,SPAN,Medicine,2007
ECON,SPAN,Education (Secondary),2012
ENGL,SPAN,Performing Arts,2002
ENGL,SPAN,Graduate Studies,2002
ENGL,SPAN,Unlisted,2003
ENGL,SPAN,Sales,2003
ENGL,SPAN,Unlisted,2004
ENGL,SPAN,Consulting,2004
ENGL,SPAN,Law,2005
ENGL,SPAN,Unlisted,2006
ENGL,SPAN,Graduate Studies,2006
ENGL,SPAN,Unlisted,2006
ENGL,SPAN,Government,2007
ENGL,SPAN,Law,2008
ENGL,SPAN,Graduate Studies,2009
ENGL,SPAN,Graduate Studies,2009
ENGL,SPAN,Graduate Studies,2010
ENGL,SPAN,Unlisted,2011
ENGL,SPAN,ECommerce/Web,2011
ENGL,SPAN,Graduate Studies,2012
ENGL,SPAN,Law,2012
HIST,SPAN,Unlisted,2004
HIST,SPAN,Education (Higher Education),2006
HIST,SPAN,Education (Secondary),2007
HIST,SPAN,Law,2008
INST,SPAN,Unlisted,2002
INST,SPAN,Health Care,2002
INST,SPAN,Ministry,2003
INST,SPAN,Other,2003
INST,SPAN,Human Resources,2003
INST,SPAN,Other,2004
INST,SPAN,Unlisted,2004
INST,SPAN,Other,2004
INST,SPAN,Unlisted,2004
INST,SPAN,Law,2005
INST,SPAN,"Research,Scientific",2005
INST,SPAN,Engineering,2005
INST,SPAN,Unlisted,2005
INST,SPAN,Medicine,2005
INST,SPAN,Unlisted,2006
INST,SPAN,Graduate Studies,2006
INST,SPAN,Unlisted,2006
INST,SPAN,Business,2006
INST,SPAN,Journalism,2007
INST,SPAN,Broadcast-Radio/Television,2007
INST,SPAN,Other,2007
INST,SPAN,Writing,2007
INST,SPAN,Government,2007
INST,SPAN,Public Relations,2007
INST,SPAN,Law,2007
INST,SPAN,Unlisted,2007
INST,SPAN,Graduate Studies,2007
INST,SPAN,Entertainment,2008
INST,SPAN,Ministry,2008
INST,SPAN,Unlisted,2008
INST,SPAN,Business,2009
INST,SPAN,Graduate Studies,2009
INST,SPAN,Other,2009
INST,SPAN,Unlisted,2010
INST,SPAN,Education (Secondary),2010
INST,SPAN,Unlisted,2011
INST,SPAN,Law,2011
INST,SPAN,Psychology/Counseling/Therapy,2011
INST,SPAN,Finance,2011
MBIO,SPAN,Unlisted,2000
MUSC,SPAN,Unlisted,2005
MUSC,SPAN,Homemaker,2008
PHIL,SPAN,Unlisted,2008
PHIL,SPAN,Education (Secondary),2011
PSCI,SPAN,Graduate Studies,2002
PSCI,SPAN,Publishing,2003
PSCI,SPAN,Graduate Studies,2004
PSCI,SPAN,Marketing/Market Research,2007
PSYC,SPAN,Homemaker,2002
PSYC,SPAN,Unlisted,2002
PSYC,SPAN,Unlisted,2002
PSYC,SPAN,Other,2003
PSYC,SPAN,Law,2003
PSYC,SPAN,Graduate Studies,2004
PSYC,SPAN,Education (Elementary),2007
PSYC,SPAN,Unlisted,2008
PSYC,SPAN,Unlisted,2008
PSYC,SPAN,Unlisted,2008
PSYC,SPAN,"Research,Scientific",2008
PSYC,SPAN,Unlisted,2011
RLST,SPAN,Graduate Studies,2007
SOCY,SPAN,Consulting,2008
SOCY,SPAN,"Research, Other",2009
MBIO,SYNP,Unlisted,2005
MLL,SYNP,Other,2002
MUSC,SYNP,Non-Profit Adminstration,2005
SPAN,SYNP,Journalism,2003
SPAN,SYNP,"Research,Scientific",2004
ANTH,WMNS,Unlisted,2009
ARTS,WMNS,Consulting,2012
ENGL,WMNS,Accounting,2007
ENGL,WMNS,Unlisted,2009
HIST,WMNS,Law,2007
AMST,,Government,1984
AMST,,Social Work/Human Services,1993
AMST,,Unlisted,1999
AMST,,Graduate Studies,1999
AMST,,Education (Secondary),2000
AMST,,Finance,2003
AMST,,Unlisted,2003
AMST,,Transportation,2003
AMST,,Finance,2005
AMST,,"Research,Scientific",2003
AMST,,Investment/Securities,2003
AMST,,Law,2003
AMST,,Nursing,2004
AMST,,Government,2004
AMST,,Fundraising/Development,2004
AMST,,Marketing/Market Research,2004
AMST,,Graduate Studies,2004
AMST,,Graduate Studies,2005
AMST,,Graduate Studies,2005
AMST,,Real Estate,2005
AMST,,Unlisted,2005
AMST,,Environment/Ecology,2005
AMST,,Other,2005
AMST,,Education (Higher Education),2005
AMST,,Unlisted,2005
AMST,,Unlisted,2005
AMST,,Unlisted,2006
AMST,,Unlisted,2006
AMST,,Performing Arts,2006
AMST,,Unlisted,2006
AMST,,Unlisted,2006
AMST,,Education (Higher Education),2006
AMST,,Unlisted,2006
AMST,,Veterinary/Animal Care,2006
AMST,,Unlisted,2006
AMST,,Military,2006
AMST,,Unlisted,2006
AMST,,Unlisted,2006
AMST,,Transportation,2006
AMST,,Graduate Studies,2006
AMST,,Unlisted,2006
AMST,,Unlisted,2006
AMST,,Graduate Studies,2006
AMST,,Education (Secondary),2007
AMST,,Computer,2007
AMST,,Unlisted,2007
AMST,,Unlisted,2007
AMST,,Consulting,2007
AMST,,Unlisted,2007
AMST,,Unlisted,2007
AMST,,Non-Profit Adminstration,2008
AMST,,Unlisted,2008
AMST,,Graduate Studies,2008
AMST,,Sales,2008
AMST,,Education (Higher Education),2008
AMST,,International,2008
AMST,,Unlisted,2008
AMST,,Education (Higher Education),2008
AMST,,Unlisted,2008
AMST,,Education (Secondary),2008
AMST,,Graduate Studies,2008
AMST,,Business,2008
AMST,,Writing,2008
AMST,,Unlisted,2008
AMST,,Unlisted,2008
AMST,,Sales,2008
AMST,,Homemaker,2008
AMST,,Public Relations,2008
AMST,,Unlisted,2009
AMST,,Unlisted,2009
AMST,,Unlisted,2009
AMST,,Business,2009
AMST,,Government,2009
AMST,,Unlisted,2009
AMST,,Unlisted,2009
AMST,,Unlisted,2009
AMST,,Graduate Studies,2009
AMST,,Unlisted,2009
AMST,,Hotel/Food Management,2010
AMST,,Unlisted,2010
AMST,,Government,2010
AMST,,Unlisted,2010
AMST,,Homemaker,2010
AMST,,Unlisted,2010
AMST,,Medicine,2010
AMST,,Advertising,2010
AMST,,Law,2010
AMST,,Veterinary/Animal Care,2010
AMST,,Fundraising/Development,2011
AMST,,Unlisted,2011
AMST,,Unlisted,2011
AMST,,Arts,2011
AMST,,Energy Industries,2012
ANTH,,Other,1995
ANTH,,Unlisted,2001
ANTH,,Insurance,2001
ANTH,,Consulting,2001
ANTH,,Medicine,2001
ANTH,,Unlisted,2001
ANTH,,Broadcast-Radio/Television,2002
ANTH,,Graduate Studies,2002
ANTH,,Unlisted,2002
ANTH,,Unlisted,2002
ANTH,,Unlisted,2002
ANTH,,Unlisted,2002
ANTH,,Public Relations,2002
ANTH,,Unlisted,2002
ANTH,,Nursing,2002
ANTH,,Education (Elementary),2002
ANTH,,Education (Secondary),2002
ANTH,,Law,2002
ANTH,,Business,2002
ANTH,,"Research,Scientific",2002
ANTH,,Communications,2002
ANTH,,Non-Profit Adminstration,2002
ANTH,,Unlisted,2002
ANTH,,Volunteer,2002
ANTH,,Graduate Studies,2003
ANTH,,Publishing,2003
ANTH,,Fundraising/Development,2003
ANTH,,Education (Secondary),2003
ANTH,,Arts,2003
ANTH,,Unlisted,2003
ANTH,,Unlisted,2003
ANTH,,"Research,Scientific",2003
ANTH,,Unlisted,2003
ANTH,,Music,2003
ANTH,,Other,2003
ANTH,,Government,2003
ANTH,,Unlisted,2004
ANTH,,Consulting,2004
ANTH,,Museum Work,2004
ANTH,,Education (Secondary),2004
ANTH,,Unlisted,2004
ANTH,,Psychology/Counseling/Therapy,2004
ANTH,,Education (Secondary),2004
ANTH,,Unlisted,2004
ANTH,,Law,2004
ANTH,,Unlisted,2004
ANTH,,Military,2004
ANTH,,Unlisted,2004
ANTH,,Investment/Securities,2004
