"S_ID","PREF_CLASS_YEAR","BUS_EMPLOYER_NAME1","BUS_JOB_TITLE","BUS_FIELD_OF_WORK_CODE","BUS_FIELD_OF_WORK_DESC","BUS_STATE","BUS_DATE_MODIFIED"
"S980105","2002","Parsons Brinckerhoff","Transportation Engineer","1170","Engineering","IN",10-DEC-08
"S980106","2002"," "," "," "," "," ",
"S980108","2002"," "," "," "," "," ",
"S980110","2002"," "," "," "," "," ",
"S980111","2002","Employer Unknown"," "," "," ","OR",29-AUG-02
"S980112","2002","Real Goods Solar","Solar Sales Specialist","1160","Energy Industries","CO",05-JUN-12
"S980113","2002","State of Colorado","Campaign Finance Legal Specialist","1320","Law"," ",29-MAY-12
"S980114","2002","Made by Molly","Jewelry Designer","1050","Arts"," ",18-NOV-11
"S980115","2002"," "," "," "," "," ",
"S980116","2002","Amica Mutual Insurance","Assistant Vice President","1280","Insurance"," ",26-OCT-10
"S980118","2002","Team Santa Monica","Swimming Coach","1540","Sports"," ",29-SEP-10
"S980119","2002"," "," "," "," "," ",
"S980121","2002","PIMCO","Account Manager","1200","Finance","CA",02-DEC-09
"S980122","2002","Associates in Mental Health","Psychiatrist","1370","Medicine","IL",09-AUG-11
"S980124","2002","Zakrose","Furniture Designer/Builder, Owner","1610","Other"," ",10-JAN-11
"S980125","2002","Hauser Center for Nonprofit Orgs.","Research Fellow","1490","Research, Other","MA",07-JAN-11
"S980126","2002"," "," "," "," "," ",
"S980128","2002"," "," "," "," "," ",
"S980129","2002","Regis University","Asst. Director of Admissions","1150","Education (Higher Education)"," ",06-OCT-09
"S980131","2002","Renee McNally Sewing","Seamstress/Homemaker","1520","Self Employed","PA",01-SEP-10
"S980132","2002"," "," "," "," "," ",
"S980133","2002","Employer Unknown","Writer","1580","Writing"," ",25-SEP-06
"S980134","2002","Tullahoma City Schools","Behavior Consultant","1610","Other","TN",01-NOV-11
"S980135","2002"," "," "," "," "," ",
"S980137","2002"," "," "," "," "," ",
"S980138","2002","American Chemistry Council","Director of Sustainability","1425","Non-Profit Adminstration","DC",13-NOV-12
"S980139","2002","Stewart Talent","Talent Agent","1180","Entertainment","IL",03-JUL-07
"S980141","2002","University of Saarbrucken","Resrch/Teach Mechanical Engineering","1150","Education (Higher Education)"," ",09-NOV-12
"S980142","2002","Centers for Disease Control","Fellow","1610","Other"," ",04-SEP-07
"S980143","2002","Airbnb","Aircrew","1090","Computer","IL",04-OCT-11
"S980144","2002","Biola University","Assistant Professor","1150","Education (Higher Education)"," ",21-SEP-12
"S980145","2002","New School University","Graduate Student","1230","Graduate Studies","NY",29-FEB-08
"S980146","2002","PEER Services","Program Coordinator","1530","Social Work/Human Services","IL",30-OCT-09
"S980147","2002"," "," "," "," "," ",
"S980148","2002","Self Employed","Political Consultant","1120","Consulting"," ",21-FEB-11
"S980149","2002"," "," "," "," "," ",
"S980150","2002","Employer Unknown","Actor","1180","Entertainment"," ",11-MAR-10
"S980151","2002","University of Colorado Denver","Asst.Prof/Colorado Lic.Psychologist","1450","Psychology/Counseling/Therapy","CO",09-NOV-10
"S980153","2002","Univ. of Alabama at Birmingham","Assoc. Dir. Undergraduate Admission","1150","Education (Higher Education)","AL",09-JUL-10
"S980154","2002","National Parks Conservation Assoc.","Sr. Manager, Events & Stewardship","1425","Non-Profit Adminstration","DC",09-DEC-11
"S980155","2002","Shoap Technical Services","Sr. Technical Writer/Project Mgr.","1090","Computer","GA",16-MAY-05
"S980156","2002"," "," "," "," "," ",
"S980157","2002","Nat'l Geospatial-Intelligence Agency","Imagery Intelligence Analyst","1220","Government","MO",20-JUL-06
"S980158","2002","AMC Theatres","Film Projectionist","1610","Other"," ",19-OCT-09
"S980159","2002"," "," "," "," "," ",
"S980160","2002","WESA-Pittsburgh's NPR Station","Reporter/News Anchor","1310","Journalism"," ",27-SEP-12
"S980161","2002","School Unknown","10th-12th Grade English Teacher","1140","Education (Secondary)"," ",28-SEP-05
"S980162","2002"," "," "," "," "," ",
"S980163","2002","School Unknown","Graduate Student","1230","Graduate Studies"," ",04-DEC-12
"S980164","2002"," "," "," "," "," ",
"S980165","2002","Ignition Print","Vice President","1180","Entertainment","CA",06-JAN-11
"S980166","2002","Kenyon College","Visiting Assoc. Professor of Drama","1150","Education (Higher Education)","OH",06-NOV-12
"S980167","2002","Princeton University","Assistant Dean of Admissions","1150","Education (Higher Education)","NJ",11-AUG-10
"S980168","2002","Flextronics","Director of Corporate Strategy","1080","Business"," ",02-NOV-11
"S980169","2002","National Conf.of State Legislatures","Legislative Studies Specialist","1220","Government","DC",11-SEP-12
"S980170","2002","University of Washington","Resident Physician-Neurology","1370","Medicine","WA",19-NOV-10
"S980171","2002","Central Asia International","Deputy Provincial Manager","1610","Other"," ",14-FEB-11
"S980172","2002","St. Louis University","Graduate Student"," "," "," ",23-JAN-06
"S980173","2002","Gettysburg College","Adjunct Faculty","1150","Education (Higher Education)","PA",19-SEP-07
"S980174","2002"," "," "," "," "," ",
"S980175","2002","Northwestern University","Associate Director of Admissions","1150","Education (Higher Education)","IL",21-OCT-08
"S980176","2002","Academy of Managed Care Pharmacy","State Leg.Analyst/Grassroots Advoc.","1425","Non-Profit Adminstration","VA",25-MAY-11
"S980177","2002","Wake Forest Medical School","Postdoctoral Student","1230","Graduate Studies"," ",22-JUN-07
"S980178","2002","Booz Allen Hamilton","Senior Consultant","1120","Consulting"," ",07-DEC-11
"S980180","2002","University of Pittsburgh","Medical Student","1230","Graduate Studies","PA",08-AUG-05
"S980181","2002","University of Mary Washington","Senior Lecturer-Swim Coach","1150","Education (Higher Education)","VA",31-AUG-10
"S980182","2002","BuxusPR","Principal","1470","Public Relations","NY",24-AUG-10
"S980183","2002","Bellevue Hospital Center","Attending Psychiatrist","1370","Medicine"," ",10-OCT-11
"S980185","2002"," "," "," "," "," ",
"S980186","2002","KCI"," ","1610","Other"," ",11-MAY-07
"S980187","2002","Univ. of Virginia Health System","MD-Fellow in Gynecologic Oncology","1370","Medicine","VA",26-OCT-10
"S980188","2002","Global Tech. Solutions-Lionbridge","Business Development Director","1080","Business"," ",21-APR-10
"S980189","2002","Delaware City Schools","Mathematics Teacher","1140","Education (Secondary)"," ",11-NOV-08
"S980190","2002","Sculpture Magazine","Editorial Assistant","1460","Publishing"," ",27-JAN-06
"S980191","2002","Johns Hopkins","Graduate Student-PhD Art History","1230","Graduate Studies"," ",06-NOV-07
"S980192","2002","Inside Track","Enrolled/Prospective Student Coach","1150","Education (Higher Education)","OR",16-MAR-11
"S980193","2002"," "," "," "," "," ",
"S980194","2002","Mayer Brown LLP","Associate Attorney","1320","Law","IL",29-NOV-07
"S980195","2002","Employer Unknown","Physician","1370","Medicine"," ",28-JUN-12
"S980196","2002","Schlissel Ostrow Karabatos","Associate","1320","Law","NY",20-JAN-10
"S980197","2002","University of Arizona","Graduate Student-MBA","1230","Graduate Studies","AZ",08-AUG-11
"S980199","2002","TheWeek.com","Photo Editor","1610","Other"," ",16-FEB-11
"S980200","2002","School Unknown","Fulbright Grantee","1150","Education (Higher Education)"," ",05-JAN-09
"S980201","2002"," "," "," "," "," ",
"S980203","2002","Workforce Language Services","Director of Operations","1610","Other","IL",09-NOV-11
"S980204","2002","Self Employed"," ","1520","Self Employed"," ",09-FEB-09
"S980205","2002"," "," "," "," "," ",
"S980206","2002"," "," "," "," "," ",
"S980208","2002","Progressive Insurance","Claims Department","1280","Insurance"," ",03-MAY-07
"S980209","2002","Montani Run, LLC","Consultant","1190","Environment/Ecology","WV",21-SEP-09
"S980210","2002","State of Vermont"," ","1320","Law"," ",27-JUN-12
"S980211","2002"," "," "," "," "," ",
"S980212","2002","BWIN.PARTY","Marketing Director","1020","Advertising"," ",27-JUL-12
"S980214","2002","Sentient Medical Systems","Clinical Manager","1250","Health Care"," ",10-JUL-12
"S980216","2002","Bay Shore High School","IB 20th Century World History/Gov't","1140","Education (Secondary)","NY",12-JAN-06
"S980217","2002"," "," "," "," "," ",
"S980218","2002","Downtown Denver Partnership","Public Relations/Communications Dir.","1470","Public Relations","CO",02-OCT-03
"S980219","2002"," "," "," "," "," ",
"S980220","2002","USMC","Captain","1390","Military","CA",11-MAR-09
"S980221","2002","Aon Consulting","Actuarial Associate"," "," ","OH",10-JAN-06
"S980222","2002","Holyoke Community College","Instructor/Department Head","1150","Education (Higher Education)","MA",24-SEP-10
"S980223","2002","Friend Family Enterprises","CEO","1520","Self Employed"," ",21-APR-11
"S980224","2002","Upper Arlington High School","High School English Teacher","1140","Education (Secondary)","OH",28-OCT-08
"S980225","2002","Powhattan Historic State Park","Park Superintendent","1610","Other","AR",19-JUL-12
"S980227","2002","Happy Tails Pet Sitting","Self Employed/Pet Care","1610","Other"," ",06-JAN-11
"S980228","2002","Boonshoft Museum of Discovery","Assistant Director of Education","1410","Museum Work","OH",17-DEC-04
"S980229","2002","Terlato Wines International","Marketing Manager","1360","Marketing/Market Research","IL",25-JAN-11
"S980231","2002","SUNY Stony Brook","Graduate Student","1230","Graduate Studies","NY",19-JAN-07
"S980232","2002","Employer Unknown"," ","1410","Museum Work"," ",02-SEP-08
"S980233","2002","American Cancer Society","Med. Affairs, Public Health Coord.","1220","Government","GA",30-JUL-07
"S980234","2002","New York City Department of Health","Project Manager, Primary Care","1250","Health Care"," ",30-NOV-12
"S980237","2002","Denver Ctr. for the Performing Arts","Sales Associate","1610","Other"," ",29-OCT-12
"S980238","2002","U.S.Commodity Futures Trading Comm","Trial Attorney","1320","Law"," ",20-APR-09
"S980240","2002","American University","Associate Director of Development","1210","Fundraising/Development","DC",17-FEB-11
"S980244","2002"," "," "," "," "," ",
"S980245","2002","Crowe Horwath LLP","Manager","1120","Consulting","IN",29-FEB-08
"S980246","2002"," "," "," "," "," ",
"S980247","2002","Archaeology Odyssey Magazine","Assistant Editor","1310","Journalism","DC",21-APR-03
"S980248","2002","Western Reserve Academy","Chemistry/Physics Teacher/Coach","1140","Education (Secondary)","OH",25-OCT-02
"S980249","2002","Fire Dept. of the City of New York","Firefighter"," "," ","NY",14-AUG-06
"S980250","2002","Give an Hour","Administrative Assistant","1425","Non-Profit Adminstration"," ",13-MAY-11
"S980251","2002","Senate Armed Services Committee","Nat'l Security Advsr to John McCain","1220","Government"," ",07-OCT-09
"S980254","2002"," "," "," "," "," ",
"S980255","2002","Game Design"," ","1610","Other"," ",27-JAN-12
"S980256","2002","ICF International","Senior Research Associate","1500","Research,Scientific","GA",11-DEC-12
"S980257","2002","NYC Department of Transportation","City Planner/Project Manager","1220","Government","NY",24-MAY-10
"S980258","2002","King Low Haywood Thomas School","Soccer Coach","1540","Sports","CT",26-OCT-04
"S980259","2002","Stepping Up Program","Career Advisor","1610","Other"," ",03-MAR-10
"S980262","2002","University of Cincinnati","Neurosurgery Resident","1370","Medicine"," ",02-DEC-09
"S980263","2002","Chalmer Elementary School","Business Mgmt. Inter/Soccer Coach","1130","Education (Elementary)"," ",14-JUL-04
"S980264","2002"," "," "," "," "," ",
"S980265","2002","Allen & Overy LLP","Associate","1320","Law","NY",16-JAN-12
"S980270","2002"," "," "," "," "," ",
"S980271","2002","University of Tennessee","Graduate Student","1230","Graduate Studies"," ",13-OCT-05
"S980272","2002","Chatham Habitat for Humanity","Project Manager","1425","Non-Profit Adminstration","NC",07-SEP-05
"S980273","2002","Pittsburgh Public Schools","Exec.Dir,Office ofTchr.Effectiveness"," "," ","PA",21-SEP-07
"S980274","2002","Columbus State Community College","Adjunct Instructor of Mathematics","1150","Education (Higher Education)","OH",20-JAN-10
"S980275","2002","Hot Box Grill","Pastry Chef","1260","Hotel/Food Management"," ",19-APR-11
"S980277","2002"," "," "," "," "," ",
"S980279","2002","University of Washington","Postdoctoral Fellow","1150","Education (Higher Education)","WA",16-NOV-10
"S980280","2002"," "," "," "," "," ",
"S980281","2002","FloorTime Center","Self Employed","1520","Self Employed"," ",16-FEB-11
"S980282","2002","Northfield Mount Hermon School","Director of Multicultural Education","1140","Education (Secondary)","MA",22-JUL-08
"S980284","2002","St. Albans School"," "," "," "," ",02-AUG-05
"S980285","2002","Univ.Cambridge Mus.of Arch/Anthro","Curatorial Asst. for Archaeology","1410","Museum Work"," ",08-OCT-09
"S980286","2002","Caprock Academy","Latin Teacher","1140","Education (Secondary)"," ",28-FEB-12
"S980287","2002","van Wagenen Financial Services Inc.","Sales Analyst & Project Coordinator","1200","Finance","MN",16-JAN-12
"S980289","2002"," "," "," "," "," ",
"S980290","2002","Starworks Group","Project Manager","1100","Communications","NY",22-FEB-11
"S980292","2002","Animal Med/Surgical Ctr.-Coshocton","Associate Veterinarian","1590","Veterinary/Animal Care","OH",13-NOV-06
"S980293","2002","Kellogg","Territory Manager"," "," "," ",19-FEB-07
"S980294","2002","Children's Hospital of Pittsburgh","Pediatric Nurse Practitioner","1430","Nursing","PA",29-APR-08
"S980295","2002","Grand Valley State University","Assistant Professor of Writing","1150","Education (Higher Education)"," ",13-MAY-08
"S980296","2002"," "," "," "," "," ",
"S980297","2002","Standard & Poor's","Director","1200","Finance","NY",30-NOV-12
"S980298","2002","University of Mississippi","Instructor of History","1150","Education (Higher Education)"," ",22-APR-08
"S980300","2002","Univ. Maryland Schl. of Social Work","Graduate Student","1230","Graduate Studies"," ",03-FEB-06
"S980301","2002","Evergreen School District","Math Teacher","1140","Education (Secondary)","WA",29-MAR-07
"S980302","2002","Columbia College/U. of WI-Madison","Art History Instructor/PhD Student","1150","Education (Higher Education)","IL",23-MAY-11
"S980304","2002","Morningstar, Inc.","Product Manager","1200","Finance","IL",18-FEB-09
"S980305","2002","Organic Renaissance","Logistics Manager","1560","Transportation","MA",31-JAN-12
"S980306","2002"," "," "," "," "," ",
"S980307","2002"," "," "," "," "," ",
"S980309","2002","Kane County","Public Defender","1320","Law"," ",01-MAR-07
"S980310","2002","Denver Public Schools","Teacher","1140","Education (Secondary)"," ",18-JUL-06
"S980311","2002","dealReporter","Senior Reporter","1310","Journalism"," ",17-MAY-11
"S980312","2002","US Federal Dist. Court-6th Circuit","Judicial Clerk-Hon. Juliet Griffin","1320","Law","TN",06-MAY-08
"S980313","2002","San Francisco Unified Sch. District","Social Worker","1530","Social Work/Human Services","CA",22-FEB-08
"S980314","2002","Nuveen Investments","Vice Pres. & Asst. General Counsel","1320","Law","IL",27-NOV-12
"S980315","2002","Employer Unknown","Associate"," "," ","NY",02-OCT-03
"S980316","2002","Chatham University","Graduate Studies","1230","Graduate Studies"," ",24-AUG-12
"S980317","2002"," "," "," "," "," ",
"S980318","2002","Continental Realty","Director ISG Group","1480","Real Estate","OH",20-MAY-10
"S980319","2002","Teton County School District","English Language LearnerFacilitator","1140","Education (Secondary)"," ",01-SEP-04
"S980320","2002","Ploom","Co-Founder","1080","Business"," ",30-MAR-11
"S980322","2002","Kalihi-Palama Public Library","Librarian","1340","Library Science","HI",06-APR-07
"S980324","2002","Goehring Rutter & Boehm","Associate Attorney","1320","Law","PA",24-OCT-12
"S980325","2002"," "," "," "," "," ",
"S980327","2002","Red Bull Photofiles","Managing Photo Editor","1440","Photography","CA",25-MAY-11
"S980328","2002"," "," "," "," "," ",
"S980329","2002","Kenyon College","Head Softball Coach","1540","Sports","OH",11-FEB-11
"S980330","2002","Southern Wine & Spirits"," "," "," "," ",09-MAR-07
"S980331","2002"," "," "," "," "," ",
"S980332","2002"," "," "," "," "," ",
"S980333","2002"," "," "," "," "," ",
"S980334","2002","ESPN","Associate Producer","1070","Broadcast-Radio/Television"," ",30-MAR-09
"S980335","2002","Jackson Kelly PLLC","Lawyer","1320","Law","WV",28-SEP-07
"S980337","2002","Detroit Tigers","Manager of Sponsorship Services","1540","Sports"," ",11-SEP-07
"S980338","2002","East LA Classic Theater","Freelance Actor","1435","Performing Arts"," ",02-MAR-07
"S980339","2002","Friedlander Misler PLLC","Attorney","1320","Law","DC",15-NOV-12
"S980340","2002","Orrick, Herrington & Sutcliffe","Managing Associate","1320","Law","DC",18-NOV-10
"S980341","2002","Employer Unknown","Physician","1370","Medicine","TX",09-AUG-12
"S980342","2002"," "," "," "," "," ",
"S980343","2002","Poly Prep Country Day School"," ","1140","Education (Secondary)","NY",31-JUL-07
"S980344","2002"," "," "," "," "," ",
"S980345","2002"," "," "," "," "," ",
"S980346","2002"," "," "," "," "," ",
"S980347","2002","The Catherine Cook School","Development Manager","1210","Fundraising/Development","IL",05-JAN-11
"S980348","2002"," "," "," "," "," ",
"S980350","2002","Careerbuilder.com","Senior Sales Manager","1510","Sales","IL",04-MAY-12
"S980351","2002"," "," "," "," "," ",
"S980352","2002","Argosy University","PsyD Student-Clinical Psychology","1230","Graduate Studies"," ",24-MAR-10
"S980353","2002"," "," "," "," "," ",
"S980354","2002","CUNY Central Off/Stu.Aff.Dis.Serv.","Education","1150","Education (Higher Education)","NY",01-DEC-09
"S980356","2002"," "," "," "," "," ",
"S980357","2002","Columbia University","PhD Student-Comm./Media Studies","1230","Graduate Studies"," ",10-DEC-09
"S980358","2002"," "," "," "," "," ",
"S980359","2002","Rouse Hendricks German May PC","Attorney Associate","1320","Law"," ",19-MAY-09
"S980360","2002"," "," "," "," "," ",
"S980361","2002"," "," "," "," "," ",
"S980362","2002","Catlin, Inc.","Financial Planning Analyst","1200","Finance","GA",08-MAY-08
"S980364","2002","Precast Keystone","Principal","1110","Construction","FL",10-SEP-10
"S980365","2002"," "," "," "," "," ",
"S980367","2002","Simpson Thacher & Bartlett","Attorney","1320","Law","NY",23-APR-09
"S980368","2002","Bonner General Hospital","Materials Coordinator","1250","Health Care","ID",07-JUN-11
"S980369","2002","MediaVest","Associate Director, Wendy's","1020","Advertising","NY",29-MAY-09
"S980370","2002","Mastery Charter Schools","Teacher","1140","Education (Secondary)","PA",28-OCT-09
"S980373","2002"," "," "," "," "," ",
"S980374","2002","Self Employed","Artist/Adjunct Art Professor","1050","Arts"," ",31-JUL-07
"S980375","2002"," "," "," "," "," ",
"S980377","2002","EDP Renewables","Project Manager","1160","Energy Industries"," ",21-OCT-11
"S980379","2002","dunnhumby USA","Associate Director","1360","Marketing/Market Research","OH",23-NOV-11
"S980380","2002"," "," "," "," "," ",
"S980381","2002","Sibley, Austin, Brown & Wood LLP","Legal Assistant","1320","Law"," ",24-OCT-05
"S980382","2002","Paula Skene Designs","Vice President","1350","Manufacturing","CA",07-JUL-04
"S980384","2002","Wunderman","Account Executive","1360","Marketing/Market Research","IL",04-MAY-05
"S980385","2002","Self Employed"," ","1520","Self Employed"," ",12-FEB-07
"S980386","2002"," "," "," "," "," ",
"S980389","2002","Koolinary","Chef","1260","Hotel/Food Management","CA",13-SEP-07
"S980390","2002"," "," "," "," "," ",
"S980391","2002","L.A. Gay & Lesbian Center","Skadden Fellow/Staff Attorney","1320","Law"," ",24-SEP-10
"S980393","2002","Proof Integrated Communications","Director","1470","Public Relations"," ",09-NOV-12
"S980394","2002","McDonalds","Manager of Global Talent","1270","Human Resources"," ",03-OCT-12
"S980396","2002","Marketing Leadership Council","Research Associate","1500","Research,Scientific","DC",08-NOV-04
"S980397","2002","Management Performance Assoc.","General Counsel/Compliance Mgr.","1320","Law","MO",03-JUN-11
"S980398","2002","Employer Unknown","Actor"," "," "," ",25-JAN-06
"S980399","2002","Jones Day","Lawyer","1320","Law","PA",26-OCT-11
"S980401","2002"," "," "," "," "," ",
"S980402","2002"," "," "," "," "," ",
"S980404","2002","London Bullion Market Association","Deputy Chief Executive","1610","Other"," ",31-JUL-12
"S980406","2002","University of Texas Austin","Lecturer","1150","Education (Higher Education)"," ",03-FEB-12
"S980408","2002","The Ramaz School","English Teacher","1140","Education (Secondary)","NY",27-APR-07
"S980412","2002","Christie's","Assoc. Vice President, Specialist","1050","Arts","NY",19-APR-12
"S980413","2002","Chicago Public Schools","Teacher","1140","Education (Secondary)","IL",01-DEC-09
