major1,major2,Industry,gradyear,Salary
ANTH,HIST,Unlisted,2009,25000
ANTH,INST,Education (Secondary),2001,25200
ANTH,INST,Publishing,2001,25400
ANTH,INST,Graduate Studies,2009,25600
ANTH,MATH,Unlisted,2003,25800
ANTH,MATH,Military,2008,26000
ANTH,MBIO,Unlisted,2007,26200
ANTH,MLL,Unlisted,2011,26400
ANTH,MUSC,Law,2007,26600
ANTH,MUSC,Education (Secondary),2008,26800
ANTH,PSCI,Arts,2005,27000
ANTH,PSYC,Education (Secondary),2002,27200
ANTH,PSYC,Unlisted,2002,27400
ANTH,PSYC,Unlisted,2006,27600
ANTH,PSYC,Sales,2006,27800
ANTH,PSYC,Unlisted,2008,28000
ANTH,SPAN,Museum Work,2006,28200
ANTH,SPAN,Law,2007,28400
ANTH,SPAN,Education (Secondary),2010,28600
ANTH,SPAN,"Research,Scientific",2012,28800
ANTH,WMNS,Unlisted,2009,29000
ANTH,,Other,1995,29200
ANTH,,Unlisted,2001,29400
ANTH,,Insurance,2001,29600
ANTH,,Consulting,2001,29800
ANTH,,Medicine,2001,30000
ANTH,,Unlisted,2001,30200
ANTH,,Broadcast-Radio/Television,2002,30400
ANTH,,Graduate Studies,2002,30600
ANTH,,Unlisted,2002,30800
ANTH,,Unlisted,2002,31000
ANTH,,Unlisted,2002,31200
ANTH,,Unlisted,2002,31400
ANTH,,Public Relations,2002,31600
ANTH,,Unlisted,2002,31800
ANTH,,Nursing,2002,32000
ANTH,,Education (Elementary),2002,32200
ANTH,,Education (Secondary),2002,32400
ANTH,,Law,2002,32600
ANTH,,Business,2002,32800
ANTH,,"Research,Scientific",2002,33000
ANTH,,Communications,2002,33200
ANTH,,Non-Profit Adminstration,2002,33400
ANTH,,Unlisted,2002,33600
ANTH,,Volunteer,2002,33800
ANTH,,Graduate Studies,2003,34000
ANTH,,Publishing,2003,34200
ANTH,,Fundraising/Development,2003,34400
ANTH,,Education (Secondary),2003,34600
ANTH,,Arts,2003,34800
ANTH,,Unlisted,2003,35000
ANTH,,Unlisted,2003,35200
ANTH,,"Research,Scientific",2003,35400
ANTH,,Unlisted,2003,35600
ANTH,,Music,2003,35800
ANTH,,Other,2003,36000
ANTH,,Government,2003,36200
ANTH,,Unlisted,2004,36400
ANTH,,Consulting,2004,36600
ANTH,,Museum Work,2004,36800
ANTH,,Education (Secondary),2004,37000
ANTH,,Unlisted,2004,37200
ANTH,,Psychology/Counseling/Therapy,2004,37400
ANTH,,Education (Secondary),2004,37600
ANTH,,Unlisted,2004,37800
ANTH,,Law,2004,38000
ANTH,,Unlisted,2004,38200
ANTH,,Military,2004,38400
ANTH,,Unlisted,2004,38600
ANTH,,Investment/Securities,2004,38800
ANTH,,Unlisted,2005,39000
ANTH,,Library Science,2005,39200
ANTH,,Education (Elementary),2005,39400
ANTH,,Unlisted,2005,39600
ANTH,,Other,2005,39800
ANTH,,Environment/Ecology,2005,40000
ANTH,,Other,2005,40200
ANTH,,Graduate Studies,2005,40400
ANTH,,Law,2005,40600
ANTH,,Hotel/Food Management,2005,40800
ANTH,,Unlisted,2006,41000
ANTH,,Graduate Studies,2006,41200
ANTH,,ECommerce/Web,2006,41400
ANTH,,Graduate Studies,2006,41600
ANTH,,Publishing,2006,41800
ANTH,,"Research,Scientific",2006,42000
ANTH,,Entertainment,2006,42200
ANTH,,Graduate Studies,2006,42400
ANTH,,Publishing,2006,42600
ANTH,,Medicine,2006,42800
ANTH,,Other,2006,43000
ANTH,,Advertising,2006,43200
ANTH,,Unlisted,2006,43400
ANTH,,Government,2006,43600
ANTH,,Education (Secondary),2007,43800
ANTH,,Education (Higher Education),2007,44000
ANTH,,Unlisted,2007,44200
ANTH,,Ministry,2007,44400
ANTH,,Education (Secondary),2007,44600
ANTH,,Unlisted,2007,44800
ANTH,,Veterinary/Animal Care,2007,45000
ANTH,,Unlisted,2007,45200
ANTH,,Social Work/Human Services,2007,45400
ANTH,,Unlisted,2008,45600
ANTH,,Graduate Studies,2008,45800
ANTH,,Publishing,2008,46000
ANTH,,Sales,2008,46200
ANTH,,Unlisted,2008,46400
ANTH,,Sports,2008,46600
ANTH,,Government,2008,46800
ANTH,,Unlisted,2008,47000
ANTH,,Unlisted,2008,47200
ANTH,,Unlisted,2008,47400
ANTH,,Unlisted,2008,47600
ANTH,,Unlisted,2008,47800
ANTH,,Unlisted,2008,48000
ANTH,,Unlisted,2008,48200
ANTH,,Consulting,2008,48400
ANTH,,Nursing,2008,48600
ANTH,,Unlisted,2009,48800
ANTH,,Other,2009,49000
ANTH,,Banking,2009,49200
ANTH,,Sales,2009,49400
ANTH,,Education (Secondary),2009,49600
ANTH,,Unlisted,2009,49800
ANTH,,Unlisted,2009,50000
ANTH,,Education (Secondary),2009,50200
ANTH,,Other,2009,50400
ANTH,,Journalism,2009,50600
ANTH,,Unlisted,2009,50800
ANTH,,Marketing/Market Research,2009,51000
ANTH,,Unlisted,2009,51200
ANTH,,Graduate Studies,2009,51400
ANTH,,Advertising,2009,51600
ANTH,,Unlisted,2010,51800
ANTH,,Banking,2010,52000
ANTH,,Education (Secondary),2010,52200
ANTH,,Journalism,2010,52400
ANTH,,Entertainment,2010,52600
ANTH,,Marketing/Market Research,2010,52800
ANTH,,Marketing/Market Research,2010,53000
ANTH,,Unlisted,2010,53200
ANTH,,Sales,2010,53400
ANTH,,Education (Secondary),2010,53600
ANTH,,Psychology/Counseling/Therapy,2010,53800
ANTH,,Education (Secondary),2010,54000
ANTH,,Law,2010,54200
ANTH,,Volunteer,2010,54400
ANTH,,Health Care,2010,54600
ANTH,,Unlisted,2010,54800
ANTH,,Unlisted,2010,55000
ANTH,,Fundraising/Development,2010,55200
ANTH,,Graduate Studies,2011,55400
ANTH,,Nursing,2011,55600
ANTH,,Education (Secondary),2011,55800
ANTH,,Writing,2011,56000
ANTH,,Unlisted,2011,56200
ANTH,,Education (Secondary),2011,56400
ANTH,,Photography,2011,56600
ANTH,,Unlisted,2011,56800
ANTH,,Consulting,2011,57000
ANTH,,Other,2011,57200
ANTH,,Government,2011,57400
ANTH,,Advertising,2011,57600
ANTH,,Graduate Studies,2011,57800
ANTH,,Unlisted,2011,58000
ANTH,,Medicine,2011,58200
ANTH,,"Research,Scientific",2012,58400
ANTH,,Finance,2012,58600
ANTH,,Graduate Studies,2012,58800
ARHS,ARTS,Accounting,2006,59000
ARHS,ENGL,Entertainment,2001,59200
ARHS,ENGL,Unlisted,2003,59400
ARHS,ENGL,Real Estate,2003,59600
ARHS,ENGL,Unlisted,2003,59800
ARHS,ENGL,Government,2007,60000
ARHS,ENGL,Education (Higher Education),2008,60200
ARHS,ENGL,Arts,2009,60400
ARHS,INST,Education (Higher Education),2008,60600
ARHS,MLL,Graduate Studies,2001,60800
ARHS,MLL,Non-Profit Adminstration,2002,61000
ARHS,PSCI,Education (Secondary),2001,61200
ARHS,PSCI,Unlisted,2007,61400
ARHS,PSCI,Unlisted,2008,61600
ARHS,PSYC,Graduate Studies,2004,61800
ARHS,SPAN,Unlisted,2005,62000
ARHS,,"Research, Other",2001,62200
ARHS,,Ministry,2001,62400
ARHS,,Nursing,2001,62600
ARHS,,Unlisted,2001,62800
ARHS,,Education (Higher Education),2002,63000
ARHS,,Graduate Studies,2002,63200
ARHS,,Other,2002,63400
ARHS,,Unlisted,2002,63600
ARHS,,Energy Industries,2002,63800
ARHS,,Museum Work,2002,64000
ARHS,,Unlisted,2002,64200
ARHS,,Graduate Studies,2002,64400
ARHS,,Graduate Studies,2003,64600
ARHS,,Education (Higher Education),2003,64800
ARHS,,Graduate Studies,2003,65000
ARHS,,Education (Secondary),2003,65200
ARHS,,Arts,2003,65400
ARHS,,Unlisted,2003,65600
ARHS,,Unlisted,2003,65800
ARHS,,Business,2004,66000
ARHS,,Consulting,2004,66200
ARHS,,Graduate Studies,2004,66400
ARHS,,Graduate Studies,2004,66600
ARHS,,Nursing,2004,66800
ARHS,,Psychology/Counseling/Therapy,2005,67000
ARHS,,Education (Secondary),2005,67200
ARHS,,Unlisted,2005,67400
ARHS,,Education (Higher Education),2005,67600
ARHS,,Other,2005,67800
ARHS,,Sports,2005,68000
ARHS,,Military,2005,68200
ARHS,,Graduate Studies,2006,68400
ARHS,,Law,2006,68600
ARHS,,Unlisted,2006,68800
ARHS,,Graduate Studies,2006,69000
ARHS,,Other,2006,69200
ARHS,,Graduate Studies,2007,69400
ARHS,,Engineering,2007,69600
ARHS,,Education (Elementary),2007,69800
ARHS,,Education (Secondary),2007,70000
ARHS,,Marketing/Market Research,2007,70200
ARHS,,Unlisted,2007,70400
ARHS,,"Research,Scientific",2007,70600
ARHS,,Social Work/Human Services,2007,70800
ARHS,,Unlisted,2008,71000
ARHS,,Unlisted,2008,71200
ARHS,,Non-Profit Adminstration,2008,71400
ARHS,,Health Care,2008,71600
ARHS,,Unlisted,2008,71800
ARHS,,Unlisted,2008,72000
ARHS,,Unlisted,2009,72200
ARHS,,Unlisted,2009,72400
ARHS,,Writing,2009,72600
ARHS,,Unlisted,2009,72800
ARHS,,Other,2009,73000
ARHS,,Education (Secondary),2009,73200
ARHS,,Unlisted,2009,73400
ARHS,,Government,2009,73600
ARHS,,Publishing,2009,73800
ARHS,,Unlisted,2009,74000
ARHS,,Nursing,2009,74200
ARHS,,Unlisted,2009,74400
ARHS,,Other,2010,74600
ARHS,,Social Work/Human Services,2010,74800
ARHS,,Law,2010,75000
ARHS,,Unlisted,2010,75200
ARHS,,Finance,2010,75400
ARHS,,Education (Secondary),2010,75600
ARHS,,Government,2010,75800
ARHS,,Writing,2010,76000
ARHS,,Performing Arts,2011,76200
ARHS,,Arts,2011,76400
ARHS,,Unlisted,2011,76600
ARHS,,Graduate Studies,2011,76800
ARHS,,Unlisted,2011,77000
ARHS,,Unlisted,2011,77200
ARHS,,Unlisted,2011,77400
ARHS,,Arts,2011,77600
ARHS,,Education (Elementary),2011,77800
ARHS,,Arts,2011,78000
ARHS,,Publishing,2011,78200
ARHS,,Unlisted,2011,78400
ARHS,,Energy Industries,2011,78600
ARTS,BIOL,Graduate Studies,2002,78800
ARTS,BIOL,Ministry,2012,79000
ARTS,CHEM,Social Work/Human Services,2012,79200
ARTS,CLAS,ECommerce/Web,2011,79400
ARTS,DRAM,Unlisted,2003,79600
ARTS,ECON,Education (Higher Education),2012,79800
ARTS,ECON,Business,2006,80000
ARTS,ECON,Museum Work,2006,80200
ARTS,ECON,Investment/Securities,2007,80400
ARTS,ECON,Fundraising/Development,2009,80600
ARTS,ECON,Social Work/Human Services,2011,80800
ARTS,ENGL,Unlisted,2002,81000
ARTS,ENGL,Journalism,2003,81200
ARTS,ENGL,Education (Secondary),2003,81400
ARTS,ENGL,Military,2004,81600
ARTS,ENGL,Banking,2004,81800
ARTS,ENGL,Education (Elementary),2005,82000
ARTS,ENGL,Environment/Ecology,2006,82200
ARTS,ENGL,Unlisted,2007,82400
ARTS,ENGL,Sales,2007,82600
ARTS,ENGL,Education (Higher Education),2008,82800
ARTS,ENGL,Graduate Studies,2009,83000
ARTS,ENGL,Unlisted,2010,83200
ARTS,ENGL,Education (Secondary),2010,83400
ARTS,ENGL,Publishing,2011,83600
ARTS,ENGL,Nursing,2011,83800
ARTS,ENGL,Writing,2011,84000
ARTS,HIST,Journalism,2007,84200
ARTS,INST,Unlisted,2004,84400
ARTS,INST,Law,2005,84600
ARTS,INST,Medicine,2009,84800
ARTS,NEUR,Sports,2004,85000
ARTS,PHIL,Medicine,2010,85200
ARTS,PHIL,Unlisted,2012,85400
ARTS,PHYS,Unlisted,2002,85600
ARTS,PSCI,Finance,2003,85800
ARTS,PSCI,Graduate Studies,2006,86000
ARTS,PSCI,Other,2008,86200
ARTS,PSCI,Self Employed,2011,86400
ARTS,PSYC,Marketing/Market Research,2003,86600
ARTS,PSYC,Psychology/Counseling/Therapy,2004,86800
ARTS,PSYC,Graduate Studies,2005,87000
ARTS,PSYC,Unlisted,2006,87200
ARTS,PSYC,Communications,2006,87400
ARTS,PSYC,Education (Secondary),2009,87600
ARTS,PSYC,Unlisted,2012,87800
ARTS,SOCY,Unlisted,2008,88000
ARTS,SPAN,Medicine,2001,88200
ARTS,SPAN,Unlisted,2006,88400
ARTS,WMNS,Consulting,2012,88600
ARTS,,Other,2001,88800
ARTS,,Unlisted,2001,89000
ARTS,,Fundraising/Development,2001,89200
ARTS,,Environment/Ecology,2001,89400
ARTS,,Unlisted,2001,89600
ARTS,,Education (Higher Education),2002,89800
ARTS,,Unlisted,2002,90000
ARTS,,Unlisted,2002,90200
ARTS,,Museum Work,2002,90400
ARTS,,Unlisted,2002,90600
ARTS,,Unlisted,2002,90800
ARTS,,Unlisted,2002,91000
ARTS,,Medicine,2002,91200
ARTS,,Unlisted,2002,91400
ARTS,,Journalism,2003,91600
ARTS,,Education (Secondary),2003,91800
ARTS,,Education (Higher Education),2003,92000
ARTS,,Unlisted,2003,92200
ARTS,,Unlisted,2003,92400
ARTS,,Unlisted,2003,92600
ARTS,,Non-Profit Adminstration,2003,92800
ARTS,,Education (Higher Education),2003,93000
ARTS,,Marketing/Market Research,2003,93200
ARTS,,Government,2003,93400
ARTS,,Graduate Studies,2004,93600
ARTS,,Insurance,2004,93800
ARTS,,Finance,2004,94000
ARTS,,Unlisted,2004,94200
ARTS,,Government,2004,94400
ARTS,,Unlisted,2004,94600
ARTS,,Graduate Studies,2004,94800
ARTS,,Graduate Studies,2004,95000
ARTS,,Medicine,2005,95200
ARTS,,Education (Higher Education),2005,95400
ARTS,,Unlisted,2005,95600
ARTS,,Law,2005,95800
ARTS,,Unlisted,2005,96000
ARTS,,Graduate Studies,2005,96200
ARTS,,Unlisted,2006,96400
ARTS,,Law,2006,96600
ARTS,,Graduate Studies,2006,96800
ARTS,,Unlisted,2006,97000
ARTS,,Graduate Studies,2006,97200
ARTS,,Unlisted,2006,97400
ARTS,,Graduate Studies,2007,97600
ARTS,,Unlisted,2007,97800
ARTS,,Other,2007,98000
ARTS,,Graduate Studies,2007,98200
ARTS,,Unlisted,2007,98400
ARTS,,Unlisted,2007,98600
ARTS,,Unlisted,2007,98800
ARTS,,Homemaker,2008,99000
ARTS,,Graduate Studies,2008,99200
ARTS,,Marketing/Market Research,2008,99400
ARTS,,Law,2008,99600
ARTS,,Unlisted,2008,99800
ARTS,,Unlisted,2008,100000
ARTS,,Graduate Studies,2008,100200
ARTS,,Unlisted,2008,100400
ARTS,,Graduate Studies,2008,100600
ARTS,,Other,2008,100800
ARTS,,Finance,2008,101000
ARTS,,Arts,2008,101200
ARTS,,Health Care,2008,101400
ARTS,,Writing,2009,101600
ARTS,,Graduate Studies,2009,101800
ARTS,,Health Care,2010,102000
ARTS,,Graduate Studies,2010,102200
ARTS,,Unlisted,2010,102400
ARTS,,Unlisted,2010,102600
ARTS,,Education (Higher Education),2010,102800
ARTS,,Unlisted,2010,103000
ARTS,,Self Employed,2010,103200
ARTS,,Other,2010,103400
ARTS,,Consulting,2010,103600
ARTS,,Social Work/Human Services,2010,103800
ARTS,,Law,2010,104000
ARTS,,Unlisted,2010,104200
ARTS,,Broadcast-Radio/Television,2010,104400
ARTS,,Government,2010,104600
ARTS,,Graduate Studies,2010,104800
ARTS,,Education (Secondary),2010,105000
ARTS,,Education (Secondary),2010,105200
ARTS,,Graduate Studies,2010,105400
ARTS,,Psychology/Counseling/Therapy,2011,105600
ARTS,,Unlisted,2011,105800
ARTS,,Engineering,2011,106000
ARTS,,Law,2011,106200
ARTS,,Unlisted,2011,106400
ARTS,,Banking,2011,106600
ARTS,,Unlisted,2011,106800
ARTS,,Education (Secondary),2011,107000
ARTS,,Graduate Studies,2011,107200
ARTS,,Medicine,2011,107400
ARTS,,Hotel/Food Management,2012,107600
ARTS,,Unlisted,2012,107800
ARTS,,Other,2012,108000
BCHM,ECON,Fundraising/Development,2008,108200
BCHM,NEUR,Performing Arts,2006,108400
BCHM,,Nursing,2000,108600
BCHM,,Graduate Studies,2000,108800
BCHM,,Finance,2001,109000
BCHM,,Performing Arts,2001,109200
BCHM,,Graduate Studies,2001,109400
BCHM,,Library Science,2001,109600
BCHM,,"Research,Scientific",2002,109800
BCHM,,Medicine,2002,110000
BCHM,,Unlisted,2003,110200
BCHM,,Homemaker,2003,110400
BCHM,,Law,2003,110600
BCHM,,Unlisted,2003,110800
BCHM,,Writing,2004,111000
BCHM,,Unlisted,2004,111200
BCHM,,Law,2004,111400
BCHM,,Graduate Studies,2004,111600
BCHM,,Ministry,2005,111800
BCHM,,Ministry,2005,112000
BCHM,,"Research,Scientific",2005,112200
BCHM,,Graduate Studies,2005,112400
BCHM,,Other,2006,112600
BCHM,,Nursing,2006,112800
BCHM,,Education (Secondary),2007,113000
BCHM,,Library Science,2007,113200
BCHM,,Marketing/Market Research,2007,113400
BCHM,,Unlisted,2007,113600
BCHM,,Other,2007,113800
BCHM,,Veterinary/Animal Care,2007,114000
BCHM,,Psychology/Counseling/Therapy,2008,114200
BCHM,,Psychology/Counseling/Therapy,2008,114400
BCHM,,Unlisted,2008,114600
BCHM,,Unlisted,2008,114800
BCHM,,Law,2008,115000
BCHM,,Insurance,2009,115200
BCHM,,Arts,2009,115400
BCHM,,Law,2009,115600
BCHM,,Architecture,2010,115800
BCHM,,Unlisted,2011,116000
BCHM,,Unlisted,2011,116200
BCHM,,Graduate Studies,2011,116400
BCHM,,Education (Higher Education),2011,116600
BCHM,,Unlisted,2011,116800
BCHM,,Graduate Studies,2011,117000
BCHM,,Unlisted,2011,117200
BCHM,,"Research, Other",2011,117400
BCHM,,Medicine,2011,117600
BCHM,,Ministry,2011,117800
BCHM,,Unlisted,2011,118000
BCHM,,Unlisted,2011,118200
BIOL,DANC,Unlisted,2006,118400
BIOL,ENGL,Unlisted,2001,118600
BIOL,ENGL,Publishing,2002,118800
BIOL,ENGL,Unlisted,2003,119000
BIOL,ENGL,Graduate Studies,2003,119200
BIOL,ENGL,Unlisted,2004,119400
BIOL,ENGL,Entertainment,2006,119600
BIOL,ENGL,Unlisted,2006,119800
BIOL,ENGL,Unlisted,2007,120000
BIOL,ENGL,Education (Higher Education),2007,120200
BIOL,ENGL,Unlisted,2008,120400
BIOL,ENGL,Law,2009,120600
BIOL,ENGL,Unlisted,2010,120800
BIOL,ENGL,Unlisted,2012,121000
BIOL,HIST,Education (Secondary),2003,121200
BIOL,MATH,Unlisted,2011,121400
BIOL,MUSC,Journalism,2005,121600
BIOL,PSYC,Graduate Studies,2005,121800
BIOL,RELN,Accounting,2003,122000
BIOL,SPAN,Accounting,2004,122200
BIOL,SPAN,Library Science,2007,122400
BIOL,,Architecture,2001,122600
BIOL,,Other,2001,122800
BIOL,,Psychology/Counseling/Therapy,2001,123000
BIOL,,Law,2001,123200
BIOL,,Unlisted,2001,123400
BIOL,,Government,2002,123600
BIOL,,Unlisted,2002,123800
BIOL,,Graduate Studies,2002,124000
BIOL,,Law,2002,124200
BIOL,,Fundraising/Development,2002,124400
BIOL,,Travel Agency/Tourism,2002,124600
BIOL,,Unlisted,2002,124800
BIOL,,Fundraising/Development,2002,125000
BIOL,,Graduate Studies,2002,125200
BIOL,,Graduate Studies,2002,125400
BIOL,,Fundraising/Development,2002,125600
BIOL,,Law,2002,125800
BIOL,,Photography,2002,126000
BIOL,,Other,2002,126200
BIOL,,Unlisted,2003,126400
BIOL,,Finance,2003,126600
BIOL,,Education (Secondary),2003,126800
BIOL,,Entertainment,2003,127000
BIOL,,Unlisted,2003,127200
BIOL,,Graduate Studies,2003,127400
BIOL,,Arts,2003,127600
BIOL,,Unlisted,2003,127800
BIOL,,Non-Profit Adminstration,2003,128000
BIOL,,Graduate Studies,2003,128200
BIOL,,Unlisted,2003,128400
BIOL,,"Research,Scientific",2003,128600
BIOL,,Military,2003,128800
BIOL,,Unlisted,2003,129000
BIOL,,Ministry,2003,129200
BIOL,,Unlisted,2003,129400
BIOL,,Engineering,2003,129600
BIOL,,Entertainment,2003,129800
BIOL,,Construction,2003,130000
BIOL,,Other,2003,130200
BIOL,,Finance,2003,130400
BIOL,,Graduate Studies,2003,130600
BIOL,,Other,2004,130800
BIOL,,"Research,Scientific",2004,131000
BIOL,,Unlisted,2004,131200
BIOL,,Unlisted,2004,131400
BIOL,,Entertainment,2004,131600
BIOL,,Unlisted,2004,131800
BIOL,,Finance,2004,132000
BIOL,,Law,2004,132200
BIOL,,Unlisted,2004,132400
BIOL,,Unlisted,2004,132600
BIOL,,Education (Secondary),2004,132800
BIOL,,Consulting,2004,133000
BIOL,,Consulting,2004,133200
BIOL,,Non-Profit Adminstration,2004,133400
BIOL,,Unlisted,2004,133600
BIOL,,Writing,2004,133800
BIOL,,Self Employed,2004,134000
BIOL,,Graduate Studies,2004,134200
BIOL,,Unlisted,2005,134400
BIOL,,Banking,2005,134600
BIOL,,Unlisted,2005,134800
BIOL,,Unlisted,2005,135000
BIOL,,Unlisted,2005,135200
BIOL,,Homemaker,2005,135400
BIOL,,Graduate Studies,2005,135600
BIOL,,Unlisted,2005,135800
BIOL,,Unlisted,2005,136000
BIOL,,Sales,2005,136200
BIOL,,Accounting,2005,136400
BIOL,,Unlisted,2005,136600
BIOL,,Ministry,2006,136800
BIOL,,Graduate Studies,2006,137000
BIOL,,Other,2006,137200
BIOL,,Unlisted,2006,137400
BIOL,,Unlisted,2006,137600
BIOL,,Education (Secondary),2006,137800
BIOL,,Unlisted,2006,138000
BIOL,,Unlisted,2006,138200
BIOL,,Unlisted,2006,138400
BIOL,,Unlisted,2006,138600
BIOL,,Education (Secondary),2006,138800
BIOL,,Unlisted,2006,139000
BIOL,,Unlisted,2006,139200
BIOL,,Unlisted,2006,139400
BIOL,,Education (Secondary),2006,139600
BIOL,,Unlisted,2006,139800
BIOL,,Business,2006,140000
BIOL,,Other,2006,140200
BIOL,,Unlisted,2006,140400
BIOL,,Unlisted,2006,140600
BIOL,,Journalism,2006,140800
BIOL,,Education (Secondary),2006,141000
BIOL,,Unlisted,2006,141200
BIOL,,Psychology/Counseling/Therapy,2007,141400
BIOL,,Unlisted,2007,141600
BIOL,,Government,2007,141800
BIOL,,Unlisted,2007,142000
BIOL,,Social Work/Human Services,2007,142200
BIOL,,Unlisted,2007,142400
BIOL,,Unlisted,2007,142600
BIOL,,"Research,Scientific",2007,142800
BIOL,,Education (Secondary),2007,143000
BIOL,,Education (Higher Education),2007,143200
BIOL,,Other,2007,143400
BIOL,,Law,2007,143600
BIOL,,Banking,2007,143800
BIOL,,Real Estate,2007,144000
BIOL,,Broadcast-Radio/Television,2007,144200
BIOL,,Construction,2007,144400
BIOL,,International,2007,144600
BIOL,,Unlisted,2007,144800
BIOL,,Human Resources,2007,145000
BIOL,,"Research,Scientific",2008,145200
BIOL,,Other,2008,145400
BIOL,,Unlisted,2008,145600
BIOL,,Museum Work,2008,145800
BIOL,,Other,2008,146000
BIOL,,Unlisted,2008,146200
BIOL,,Graduate Studies,2008,146400
BIOL,,Banking,2008,146600
BIOL,,Law,2008,146800
BIOL,,Graduate Studies,2009,147000
BIOL,,Unlisted,2009,147200
BIOL,,Unlisted,2009,147400
BIOL,,Unlisted,2009,147600
BIOL,,Graduate Studies,2009,147800
BIOL,,Graduate Studies,2009,148000
BIOL,,Graduate Studies,2009,148200
